asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Authenticate a managed identity with Azure Active Directory to access Event Hubs Resources: https://docs.microsoft.com/azure/event-hubs/authenticate-managed-identity?tabs=latest,,,LIVE-DIRECT: Azure AD Authentication Required for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,eventhubs,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Service Credential and Secrets Support Integration and Storage in Azure Key Vault not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,eventhubs,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,eventhubs,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,eventhubs,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,eventhubs,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure Backup not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,eventhubs,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,Azure Policy Regulatory Compliance controls for Azure Event Hubs: https://docs.microsoft.com/azure/event-hubs/security-controls-policy,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Authorize access to Event Hubs resources using Azure Active Directory: https://docs.microsoft.com/azure/event-hubs/authorize-access-azure-active-directory,,,LIVE-DIRECT: Azure RBAC for Data Plane supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Certificate Management in Azure Key Vault not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Wide,4
IM-7,Conditional Access for Data Plane,True,False,implemented,implemented,Microsoft.EventHub/namespaces/properties/disableLocalAuth,,,LIVE-DIRECT: Conditional Access for Data Plane supported but not enabled by default on Azure Event Hubs; verify Microsoft.EventHub/namespaces/properties/disableLocalAuth | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,High,Wide,6
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Customer Lockbox not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom Containers Images not applicable to this service by design; not_applicable_paas,eventhubs,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom VM Images not applicable to this service by design; not_applicable_paas,eventhubs,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,Configure customer-managed keys for encrypting Azure Event Hubs data at rest: https://docs.microsoft.com/azure/event-hubs/configure-customer-managed-key,,,LIVE-DIRECT: Data at Rest Encryption Using CMK supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data at Rest Encryption Using Platform Keys enabled by default on eventhubs; platform-enforced | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Narrow,2
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data in Transit Encryption enabled by default on eventhubs; platform-enforced | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Narrow,2
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Data Leakage/Loss Prevention not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/event-hubs-security-baseline,eventhubs,Medium,Wide,4
