asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell is a browser-based terminal accessed via Azure portal; portal session validates Entra ID identity before Cloud Shell is launched; Cloud Shell itself does not independently authenticate users; not_applicable at Cloud Shell resource level,cloudshell,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls targets customer VMs; Cloud Shell ephemeral compute is Microsoft-managed; not_applicable,cloudshell,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell does not manage service credentials; users can call Key Vault from within a shell session; not_applicable at Cloud Shell service level,cloudshell,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell ephemeral containers are Microsoft-managed; anti-malware not customer-configurable; not_applicable,cloudshell,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; Cloud Shell ephemeral compute not applicable,cloudshell,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; Cloud Shell ephemeral containers not applicable,cloudshell,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management targets customer VMs; Cloud Shell ephemeral compute is Microsoft-managed; not_applicable,cloudshell,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell session state is persisted in customer-owned Azure Storage; backup is responsibility of that storage account; not_applicable at Cloud Shell service level,cloudshell,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration targets customer VMs; Cloud Shell ephemeral containers not applicable,cloudshell,Low,Wide,2
AM-2,Azure Policy Support,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Cloud Shell does not support Azure Policy assignment directly; no taggable resource in standard deployment; not_applicable,cloudshell,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell data plane is a terminal session; Azure RBAC does not control terminal operations; not_applicable,cloudshell,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell does not manage certificates; users can interact with Key Vault from a shell session; not_applicable at service level,cloudshell,Medium,Wide,4
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Conditional Access governs the Azure portal sign-in that launches Cloud Shell; Cloud Shell data plane session not separately CA-evaluated; not_applicable,cloudshell,High,Wide,6
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell is not in the Customer Lockbox supported service list; not_applicable,cloudshell,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell uses Microsoft-managed container images; not_applicable,cloudshell,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell ephemeral compute uses Microsoft-managed images; not_applicable,cloudshell,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=Not Applicable; CMK applies to the customer's linked Azure Storage account (where Cloud Shell persists $HOME); configure CMK on storage, not on Cloud Shell resource; not_applicable at Cloud Shell service level",cloudshell,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell stores session data in customer-owned Azure Storage account; data encryption is controlled by the storage account not by Cloud Shell; not_applicable at Cloud Shell service level,cloudshell,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Cloud Shell enforces HTTPS/TLS for all browser-to-session traffic; platform-enforced; not customer-configurable,cloudshell,Medium,Narrow,2
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell session data is owned by customer in their linked Azure Storage file share; DLP applies to that storage account; not_applicable at Cloud Shell service level,cloudshell,Medium,Wide,4
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; no Defender plan for Cloud Shell as a service; Defender covers the underlying compute but not the Cloud Shell session service; not_applicable,cloudshell,High,Wide,6
NS-2,Disable Public Network Access,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Cloud Shell requires internet connectivity for portal access; no disable-public-access toggle; VNet injection (NS-1) is the isolation alternative; not_applicable,cloudshell,High,Wide,6
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; EDR targets customer-managed endpoints; Cloud Shell ephemeral compute is Microsoft-managed; not_applicable,cloudshell,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell does not use Key Vault for key management; users may use Key Vault from within a shell session; not_applicable at service level,cloudshell,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell runs as the portal user context; no local admin account concept; not_applicable,cloudshell,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell access is gated by Azure portal Entra ID session; no local auth methods for Cloud Shell itself; not_applicable,cloudshell,High,Wide,6
IM-3,Managed Identities,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell does not support assigning Managed Identity to the Cloud Shell service itself; users can use MI from within a shell script; not_applicable at Cloud Shell resource level,cloudshell,High,Wide,6
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell has no native backup; data persisted in customer-owned Azure Storage; not_applicable at Cloud Shell service level,cloudshell,Medium,Wide,4
NS-1,Network Security Group Support,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; standard Cloud Shell has no customer VNet; NSG not applicable in standard mode; VNet injection mode (NS-1 VNet Integration) is required for isolation; not_applicable,cloudshell,High,Wide,6
NS-2,Azure Private Link,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Cloud Shell does not support Private Link; VNet injection provides network isolation; not_applicable,cloudshell,High,Wide,6
LT-4,Azure Resource Logs,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Cloud Shell does not emit Azure Monitor resource diagnostic logs; session activity is terminal I/O only; not_applicable,cloudshell,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Cloud Shell does not support data discovery or classification; not_applicable,cloudshell,Medium,Wide,4
IM-3,Service Principals,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Cloud Shell does not support Service Principal assignment to the service; users can authenticate as SP from within a shell session; not_applicable at service level,cloudshell,High,Wide,6
NS-1,Virtual Network Integration,True,False,implemented,implemented,cloudShell.properties.networkProfile.subnetId,,,LIVE-DIRECT: Cloud Shell supports VNet injection (isolated mode) via linked storage and VNet configuration; check networkProfile.subnetId is set,cloudshell,High,Wide,6
PV-5,Vulnerability Assessment using Microsoft Defender,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Vulnerability Assessment targets customer VMs; Cloud Shell ephemeral compute is Microsoft-managed; not_applicable,cloudshell,Low,Wide,2
