asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,subnet.private_endpoint_network_policies,privatelink/ns_privatelink,check_ns1_nsg,LIVE-DIRECT: check subnet.private_endpoint_network_policies for PE subnet; default='Disabled' (NSG bypassed — most deployments FAIL); PASS if 'Enabled' or 'NetworkSecurityGroupEnabled'; cross-ref via subnets.get(rg vnet subnet) parsed from endpoint.subnet.id,privatelink,High,Wide,6
NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns1_vnet,Private Endpoint always deployed in customer VNet by definition; VNet integration inherent to PE architecture; microsoft_managed,privatelink,High,Narrow,3
NS-2,Azure Private Link,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns2_private_link,The assessed service IS Azure Private Link; Private Link support is meta-tautological for this resource type; microsoft_managed,privatelink,High,Narrow,3
NS-2,Disable Public Network Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns2_disable_public,PE has no public endpoint concept; all traffic via private IP in customer VNet; microsoft_managed,privatelink,High,Narrow,3
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp1_sensitive_data,PE is network relay (NIC); stores no customer data; data classification applies to connected PaaS service (e.g. Storage SQL); not_applicable at PE resource level,privatelink,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp2_dlp,PE stores no persistent customer data; DLP targets services with data stores; not_applicable at PE resource level,privatelink,Medium,Wide,4
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp3_tls_transit,PE does not terminate or encrypt traffic; encryption handled by connected service (e.g. HTTPS to Storage TLS to SQL); not_applicable at PE resource level,privatelink,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp4_platform_keys,PE stores no customer data at rest; platform key encryption not applicable at PE resource level,privatelink,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp5_cmk,PE stores no customer data at rest; CMK not applicable at PE resource level; apply CMK to connected PaaS service if required,privatelink,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp6_key_mgmt,PE has no customer-managed encryption keys; KV key management not applicable at PE resource level,privatelink,Medium,Wide,4
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp7_cert_kv,PE does not manage TLS certificates; cert management applies to connected service; not_applicable at PE resource level,privatelink,Medium,Wide,4
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im1_aad_auth,PE has no data plane (NIC routing traffic to PaaS service); data plane auth belongs to connected service; not_applicable at PE resource level,privatelink,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im1_local_auth,No local auth concept on PE; not_applicable at PE resource level,privatelink,High,Wide,6
IM-3,Managed Identities,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im3_managed_identities,PE makes no outbound Azure service calls requiring MI; MI applies to workload consuming PE not to PE NIC; not_applicable at PE resource level,privatelink,High,Wide,6
