asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (NSG on protected VNet subnets),ddosprotection/ns_ddosprotection,check_ns1_nsg,DDoS plan is control-plane grouping; NSG rules apply to subnets/NICs in protected VNets — not readable per-plan via ARM
NS-1,Virtual Network Integration — DDoS Plan VNet Coverage,True,False,implemented,implemented,virtual_networks,ddosprotection/ns_ddosprotection,check_ns1_vnet_coverage,virtual_networks list non-empty → plan protecting VNets → PASS; empty list → plan exists but not protecting anything → FAIL (paying for unused protection)
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/ns_ddosprotection,check_ns2_private_link,DDoS plan is control-plane resource with no network exposure; Private Link not applicable
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/ns_ddosprotection,check_ns2_disable_public,Control-plane only; ARM management API with Entra ID; no public/private toggle concept
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp1_data_classification,DDoS plan stores no customer data; Purview/AIP not applicable
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp2_dlp,No DLP product for DDoS plan; no data storage
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp3_tls_transit,Control-plane only; all mgmt ops via ARM HTTPS; no data-plane traffic through plan object
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp4_platform_keys,DDoS plan stores no customer data at rest; ARM metadata encrypted by platform
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp5_cmk,CMK not supported; no customer data at rest on DDoS plan
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp6_key_mgmt,No keys/secrets/certificates associated with DDoS plan; KV integration not applicable
