asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=Not Applicable; Azure Lighthouse is a cross-tenant delegation framework; AAD auth handled by managing tenant identity provider, not Lighthouse service itself; not_applicable at Lighthouse level"
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Lighthouse is a control-plane delegation service; no compute workloads; not_applicable
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Lighthouse delegation model uses AAD principal IDs; no credential or secret management concept; not_applicable
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; control-plane service; no compute or OS layer; not_applicable
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; control-plane service; no compute to monitor; not_applicable
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Lighthouse has no VM or DSC concept; not_applicable
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; control-plane service; no OS patching concept; not_applicable
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Lighthouse is a delegation metadata service; no backup data store; not_applicable
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; control-plane service; no VM guest agent; not_applicable
AM-2,Azure Policy Support,True,False,implemented,implemented,registrationDefinition.properties.authorizations[roleDefinitionId],,,LIVE-DIRECT: Azure Lighthouse enables cross-tenant Azure Policy delegation; check registrationDefinition.properties.authorizations contains Policy Contributor or Policy Insights Data Reader role for MSP; enables policy assignment and audit across customer tenant
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Lighthouse IS a RBAC delegation mechanism; PA-7 control does not apply recursively to Lighthouse itself; delegated roles tracked in registrationDefinitions; not_applicable as a separate control
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Lighthouse delegation uses AAD principal IDs; no certificate management; not_applicable
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=Not Applicable; Lighthouse delegation is ARM-based; CA evaluates identity in managing tenant, not Lighthouse data plane; not_applicable"
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Lighthouse is a delegation framework; Customer Lockbox concept not applicable; not_applicable
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; control-plane service; no container workloads; not_applicable
