asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,True,False,implemented,implemented,properties.networkAcls.defaultAction / properties.publicNetworkAccess,v2/ns_keyvault,check_ns1_nsg,KV not subnet-injected; proxy via network ACL default-deny or public_network_access=Disabled
NS-1,Virtual Network Integration,True,False,implemented,implemented,properties.networkAcls.virtualNetworkRules / properties.privateEndpointConnections,v2/ns_keyvault,check_ns1_vnet,VNet service endpoint rules or private endpoints as VNet integration signal
NS-2,Azure Private Link,True,False,implemented,implemented,properties.privateEndpointConnections,v2/ns_keyvault,check_ns2_private_link,Checks for at least one Approved private endpoint connection embedded in vault.properties
NS-2,Disable Public Network Access,True,False,implemented,implemented,properties.publicNetworkAccess / properties.networkAcls.defaultAction,v2/ns_keyvault,check_ns2_disable_public_access,PASS if public_network_access=Disabled OR default_action=Deny
DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,False,Not Applicable,upgraded_implemented,now_applicable_native,properties.publicNetworkAccess / properties.networkAcls.defaultAction,v2/dp_keyvault,check_dp2_dlp,Network ACLs restrict exfil surface; ARM-checkable DLP proxy. Defender for KV (LT-1) covers anomaly detection separately.
DP-3,Encrypt Data in Transit,True,False,implemented,implemented,properties.minimumTlsVersion,v2/dp_keyvault,check_dp3_tls_transit,minimum_tls_version in (1.2 / TLS1_2 / 1.3 / TLS1_3) → PASS
DP-4,Encrypt Data at Rest with Platform-Managed Keys,True,False,implemented,implemented,properties.sku.name,v2/dp_keyvault,check_dp4_platform_keys,Standard or Premium SKU confirms Microsoft-managed platform key backing
DP-5,Encrypt Data at Rest with Customer-Managed Key,True,False,not_applicable,still_not_applicable,N/A,v2/dp_keyvault,check_dp5_cmk,KV manages CMKs for other services; KV service metadata encrypted with MS-managed HSMs — customer CMK for KV-at-rest not supported
DP-6,Manage Cryptographic Keys using Key Management Service,False,Not Applicable,upgraded_implemented,now_applicable_native,N/A (inherent),v2/dp_keyvault,check_dp6_key_mgmt,KV IS the key management service; control inherently satisfied — auto-PASS
DP-7,Certificate Management using Azure Key Vault,False,Not Applicable,upgraded_implemented,now_applicable_native,N/A (inherent),v2/dp_keyvault,check_dp7_cert_kv,KV IS the certificate management service; control inherently satisfied — auto-PASS
IM-1,Use Centralized Identity and Authentication System — Disable Local Auth,False,Not Applicable,upgraded_implemented,now_applicable_native,properties.enableRbacAuthorization,v2/im_keyvault,check_im1_local_auth_methods,enable_rbac_authorization=True disables legacy vault access policies (local auth methods); GA 2020
IM-1,Use Centralized Identity and Authentication System — AAD Auth Required,False,Not Applicable,upgraded_implemented,now_applicable_native,properties.enableRbacAuthorization,v2/im_keyvault,check_im1_aad_auth_required,enable_rbac_authorization=True enforces Entra ID as sole auth method for data plane
IM-3,Use Azure AD Managed Identities for Azure Resource Authentication,True,False,implemented,implemented,properties.enableRbacAuthorization,v2/im_keyvault,check_im3_managed_identities,RBAC proxy — enable_rbac_authorization=True confirms MI assignments are supported; full enum needs azure-mgmt-authorization
IM-3,Use Azure AD Service Principals for Azure Resource Authentication,True,False,implemented,implemented,properties.enableRbacAuthorization,v2/im_keyvault,check_im3_service_principals,RBAC proxy — enable_rbac_authorization=True confirms SP assignments are supported; full enum needs azure-mgmt-authorization
IM-7,Restrict Resource Access Based on Conditions — Conditional Access,True,False,not_applicable_arm,still_not_applicable,N/A (Entra tenant-level),v2/im_keyvault,check_im7_conditional_access,CA policies are Entra tenant-level configuration; not readable via ARM; always UNKNOWN
IM-8,Restrict the Exposure of Credential and Secrets — Use Azure Key Vault,False,Not Applicable,upgraded_implemented,now_applicable_native,N/A (inherent),v2/im_keyvault,check_im8_keyvault_secrets,KV IS the secrets management service; control inherently satisfied — auto-PASS
