asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (NSG on protected VNet subnets),ddosprotection/ns_ddosprotection,check_ns1_nsg,DDoS plan is control-plane grouping; NSG rules apply to subnets/NICs in protected VNets — not readable per-plan via ARM,ddosprotection,High,Narrow,3
NS-1,Virtual Network Integration — DDoS Plan VNet Coverage,True,False,implemented,implemented,virtual_networks,ddosprotection/ns_ddosprotection,check_ns1_vnet_coverage,virtual_networks list non-empty → plan protecting VNets → PASS; empty list → plan exists but not protecting anything → FAIL (paying for unused protection),ddosprotection,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/ns_ddosprotection,check_ns2_private_link,DDoS plan is control-plane resource with no network exposure; Private Link not applicable,ddosprotection,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/ns_ddosprotection,check_ns2_disable_public,Control-plane only; ARM management API with Entra ID; no public/private toggle concept,ddosprotection,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp1_data_classification,DDoS plan stores no customer data; Purview/AIP not applicable,ddosprotection,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp2_dlp,No DLP product for DDoS plan; no data storage,ddosprotection,Medium,Wide,4
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp3_tls_transit,Control-plane only; all mgmt ops via ARM HTTPS; no data-plane traffic through plan object,ddosprotection,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp4_platform_keys,DDoS plan stores no customer data at rest; ARM metadata encrypted by platform,ddosprotection,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp5_cmk,CMK not supported; no customer data at rest on DDoS plan,ddosprotection,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp6_key_mgmt,No keys/secrets/certificates associated with DDoS plan; KV integration not applicable,ddosprotection,Medium,Wide,4
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp7_cert_kv,DDoS plan uses no certificates; KV cert management not applicable,ddosprotection,Medium,Wide,4
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),ddosprotection/im_ddosprotection,check_im1_local_auth_methods,No data plane or mgmt interface requiring local auth; all ops via ARM with Entra ID,ddosprotection,High,Narrow,3
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),ddosprotection/im_ddosprotection,check_im1_aad_auth_required,No data plane; ARM enforces Entra ID auth for all management ops,ddosprotection,High,Narrow,3
IM-3,Managed Identities,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im3_managed_identities,DDoS plan does not support MI assignment; passive control-plane resource with no auth requirements,ddosprotection,High,Wide,6
IM-3,Service Principals,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im3_service_principals,No data-plane SP auth for DDoS plan; SP used at subscription/RG level for ARM management only,ddosprotection,High,Wide,6
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im7_conditional_access,No data plane; CA applies at Entra ID/ARM level not per-plan,ddosprotection,High,Wide,6
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im8_keyvault_secrets,DDoS plan stores no credentials or secrets; KV integration not applicable,ddosprotection,High,Wide,6
LT-1,Microsoft Defender for Service — Azure DDoS Protection,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/lt_ddosprotection,check_lt1_defender,No dedicated Defender for DDoS Protection product; DDoS Protection Standard IS the threat mitigation mechanism,ddosprotection,High,Wide,6
LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnosticSettings.logs + metrics,ddosprotection/lt_ddosprotection,check_lt4_resource_logs,DiagnosticSettings on plan with any enabled log or metric → PASS; primary DDoS telemetry (flow logs/notifications) also on Public IP resources,ddosprotection,High,Wide,6
BR-1,Azure Backup,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/br_ddosprotection,check_br1_azure_backup,Azure Backup not supported for DDoS plans; plan is configuration-only; recreatable from IaC,ddosprotection,Medium,Wide,4
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/br_ddosprotection,check_br1_native_backup,No native backup; store plan definition in source control as compensating control,ddosprotection,Medium,Wide,4
AM-2,Azure Policy Support,True,False,implemented,implemented,tags,ddosprotection/am_ddosprotection,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL,ddosprotection,Medium,Wide,4
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/am_ddosprotection,check_am5_defender_aac,PaaS control-plane resource; AAC targets VMs and Arc-enabled servers only,ddosprotection,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no local admin concept),ddosprotection/pa_ddosprotection,check_pa1_local_admin,Managed control-plane resource; ARM RBAC with Entra ID is the only access model,ddosprotection,High,Narrow,3
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no data plane),ddosprotection/pa_ddosprotection,check_pa7_rbac_data_plane,No data plane; management via ARM RBAC (Network Contributor or DDoS Plan Contributor),ddosprotection,High,Narrow,3
PA-8,Customer Lockbox,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pa_ddosprotection,check_pa8_customer_lockbox,DDoS Protection Plan not in Customer Lockbox supported services GA list,ddosprotection,High,Wide,6
