asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,True,False,implemented,implemented,subnet(AzureBastionSubnet).network_security_group,bastion/ns_bastion,check_ns1_nsg,LIVE-DIRECT: check NSG existence on AzureBastionSubnet; NSG present → PASS; absent → FAIL; do NOT validate individual rules (prescriptive); cross-ref via subnets.get(rg vnet AzureBastionSubnet) parsed from bastion.ip_configurations[0].subnet.id
NS-1,Virtual Network Integration,True,False,implemented,implemented,subnet_name + subnet.address_prefix,bastion/ns_bastion,check_ns1_vnet,LIVE-DIRECT: subnet_name == 'AzureBastionSubnet' AND CIDR prefix <= /26; Azure enforces name but not always size; PASS if both conditions met; FAIL if wrong name or too small (/27 etc)
NS-2,Azure Private Link,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/ns_bastion,check_ns2_private_link,feature_supported=False; Bastion has no Private Link for management plane; not_applicable
NS-2,Disable Public Network Access,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/ns_bastion,check_ns2_disable_public,feature_supported=False; Bastion requires public IP for browser-initiated HTTPS sessions by design; no disable-public concept; not_applicable
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp1_sensitive_data,Bastion is managed jump host; stores no customer data; data classification applies to VMs accessed via Bastion not Bastion itself; not_applicable
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp2_dlp,Bastion stores no persistent customer data; DLP targets services with data stores; not_applicable
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,bastion/dp_bastion,check_dp3_tls_transit,microsoft_managed: Bastion enforces TLS 1.2 for browser-to-bastion (HTTPS) and bastion-to-VM (RDP/SSH over TLS); platform-enforced; no customer config required
DP-4,Data at Rest Encryption Using Platform Keys,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp4_platform_keys,feature_supported=False; Bastion has no customer data store; not_applicable
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp5_cmk,Bastion stores no customer data; apply CMK to VMs and disks accessed via Bastion if required; not_applicable
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),bastion/dp_bastion,check_dp6_key_mgmt,LIVE→UNKNOWN: SSH keys can be stored in KV for Bastion native client sessions; connection-time behavioral pattern; no ARM property on BastionHost to inspect; verify via Azure Policy audit or manual review
