asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (NIC/subnet of associated resource),publicip/ns_publicip,check_ns1_nsg,NSG attaches to NIC/subnet of the resource associated with this PIP — not readable per-PIP via ARM
NS-1,Standard SKU (Secure-by-Default),True,False,implemented,implemented,sku.name,publicip/ns_publicip,check_ns1_sku,Standard SKU → PASS (closed-by-default; zone-redundant); Basic → FAIL (deprecated Sep 2025; open-by-default)
NS-1,Virtual Network Integration — IP Attachment Status,True,False,implemented,implemented,ipConfiguration,publicip/ns_publicip,check_ns1_vnet,ip_configuration present → IP attached to VNet resource → PASS; None → orphaned IP (security risk) → FAIL
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/ns_publicip,check_ns2_private_link,PIP IS a public address; no private endpoint concept applies to the PIP resource
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/ns_publicip,check_ns2_disable_public,Service IS public exposure by definition; no toggle to disable; manage via removing orphaned PIPs
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp1_data_classification,PIP is a network addressing object; stores no customer data; Purview/AIP not applicable
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp2_dlp,No DLP product for PIP; no data storage
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp3_tls_transit,Layer 3 addressing resource; TLS enforced by application using the IP — not by PIP itself
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp4_platform_keys,PIP stores no customer data at rest; ARM metadata encrypted by platform
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp5_cmk,CMK not supported; no customer data at rest on PIP
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp6_key_mgmt,No keys/secrets/certificates associated with PIP; KV integration not applicable
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp7_cert_kv,Certificates managed by the service using the PIP (e.g. AppGW) — not by PIP itself
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),publicip/im_publicip,check_im1_local_auth_methods,No data plane or management interface requiring local auth; all ops via ARM with Entra ID
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),publicip/im_publicip,check_im1_aad_auth_required,No data plane; ARM enforces Entra ID auth for all management ops
IM-3,Managed Identities,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,publicip/im_publicip,check_im3_managed_identities,PIP does not support MI assignment; passive address resource with no auth requirements
IM-3,Service Principals,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,publicip/im_publicip,check_im3_service_principals,No data-plane SP auth for PIP; SP used only for ARM management at subscription/RG level
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,publicip/im_publicip,check_im7_conditional_access,No data plane; CA applies at Entra ID/ARM level not per-PIP resource
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/im_publicip,check_im8_keyvault_secrets,PIP stores no credentials or secrets; KV integration not applicable
