asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (AzureFirewallSubnet prohibits NSGs),azurefirewall/ns_azurefirewall,check_ns1_nsg,AzureFirewallSubnet blocks subnet-level NSGs by design; platform-managed NIC NSG not visible via ARM → UNKNOWN static
NS-1,Virtual Network Integration,True,True,implemented,implemented,ipConfigurations[*].subnet.id contains 'AzureFirewallSubnet',azurefirewall/ns_azurefirewall,check_ns1_vnet,microsoft_managed default True; verify subnet placement via ip_configurations → PASS if AzureFirewallSubnet found
NS-1,Threat Intelligence Mode,True,False,implemented,implemented,threatIntelMode,azurefirewall/ns_azurefirewall,check_ns1_threat_intel,threatIntelMode='Deny' → PASS; 'Alert' → FAIL (logs only); 'Off' → FAIL
NS-1,Intrusion Detection and Prevention System (IDPS),True,False,conditional,conditional,sku.tier + idpsSettings.mode,azurefirewall/ns_azurefirewall,check_ns1_idps,Premium SKU + idpsSettings.mode='Deny' → PASS; Standard SKU → FAIL (IDPS not available); Premium + Alert/Off → FAIL
DP-1,Sensitive Data Discovery and Classification,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azurefirewall/dp_azurefirewall,check_dp1_data_classification,Firewall does not store customer data at rest; Purview/AIP classification not applicable
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azurefirewall/dp_azurefirewall,check_dp2_dlp,No DLP product for Azure Firewall; FQDN filtering provides compensating outbound control
DP-3,Data in Transit Encryption — TLS Inspection,True,False,conditional,conditional,transportSecurity.certificateAuthority,azurefirewall/dp_azurefirewall,check_dp3_tls_transit,Premium SKU + transport_security.certificate_authority set → PASS; Standard → UNKNOWN (TLS inspection not available)
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A (Microsoft-managed),azurefirewall/dp_azurefirewall,check_dp4_platform_keys,microsoft_managed default; derived certs and backend state encrypted with platform keys → PASS static
DP-5,Data at Rest Encryption Using CMK,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azurefirewall/dp_azurefirewall,check_dp5_cmk,CMK not supported; no customer data at rest requiring encryption
DP-6,Key Management in Azure Key Vault,False,Not Applicable,now_applicable_native,now_applicable_native,transportSecurity.certificateAuthority.keyVaultSecretId + identity,azurefirewall/dp_azurefirewall,check_dp6_key_mgmt,Premium TLS inspection uses KV-stored intermediate CA cert; 2024 GA — Premium SKU + KV secret ID + MI → PASS
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,transportSecurity.certificateAuthority.keyVaultSecretId,azurefirewall/dp_azurefirewall,check_dp7_cert_kv,Premium SKU; intermediate CA cert lifecycle managed in Key Vault; key_vault_secret_id set → PASS
IM-1,Local Authentication Methods for Data Plane Access,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),azurefirewall/im_azurefirewall,check_im1_local_auth_methods,No local auth concept; all management via ARM/Entra ID RBAC → UNKNOWN static
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),azurefirewall/im_azurefirewall,check_im1_aad_auth_required,No data plane; ARM enforces Entra ID auth for all management operations → UNKNOWN static
IM-3,Managed Identities,False,Not Applicable,now_applicable_native,now_applicable_native,identity (SystemAssigned or UserAssigned),azurefirewall/im_azurefirewall,check_im3_managed_identities,Firewall MI used to pull KV cert for Premium TLS inspection; firewall.identity present → PASS (now_applicable_native 2024)
IM-3,Service Principals,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A,azurefirewall/im_azurefirewall,check_im3_service_principals,No data-plane service principal auth for Azure Firewall
IM-7,Conditional Access for Data Plane,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A,azurefirewall/im_azurefirewall,check_im7_conditional_access,No customer data plane; Conditional Access applies at ARM/Entra level — not per-firewall resource
