asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Authentication and authorization in Azure App Service and Azure Functions: https://docs.microsoft.com/azure/app-service/overview-authentication-authorization,,,LIVE-DIRECT: Azure AD Authentication Required for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,appservice,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,Use Key Vault references for App Service and Azure Functions: https://docs.microsoft.com/azure/app-service/app-service-key-vault-references,,,LIVE-DIRECT: Service Credential and Secrets Support Integration and Storage in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,appservice,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,appservice,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,appservice,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,appservice,Low,Wide,2
BR-1,Azure Backup,True,False,implemented,implemented,Back up your app in Azure: https://docs.microsoft.com/azure/app-service/manage-backup,,,LIVE-DIRECT: Azure Backup supported but not enabled by default; customer must configure; verify ARM property,appservice,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,appservice,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,Azure Policy Regulatory Compliance controls for Azure App Service: https://docs.microsoft.com/azure/app-service/security-controls-policy,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default; customer must configure; verify ARM property,appservice,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure RBAC for Data Plane not supported; web research 2026 confirms no change; still_not_applicable,appservice,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,Add a TLS/SSL certificate in Azure App Service: https://docs.microsoft.com/azure/app-service/configure-ssl-certificate,,,LIVE-DIRECT: Certificate Management in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property,appservice,Medium,Wide,4
IM-7,Conditional Access for Data Plane,True,False,now_applicable_native,now_applicable_native,Microsoft.Web/sites/config/authsettingsV2,,,LIVE-DIRECT: Conditional Access for Data Plane supported but not enabled by default on Azure App Service; verify Microsoft.Web/sites/config/authsettingsV2,appservice,High,Wide,6
PA-8,Customer Lockbox,True,False,implemented,implemented,subscription.properties.customerLockbox,,,LIVE-DIRECT: Customer Lockbox supported but not enabled by default on Azure App Service; verify subscription.properties.customerLockbox,appservice,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom Containers Images not applicable to this service by design; not_applicable_paas,appservice,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom VM Images not applicable to this service by design; not_applicable_paas,appservice,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,Encryption at rest using customer-managed keys: https://docs.microsoft.com/azure/app-service/configure-encrypt-at-rest-using-cmk,,,LIVE-DIRECT: Data at Rest Encryption Using CMK supported but not enabled by default; customer must configure; verify ARM property,appservice,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data at Rest Encryption Using Platform Keys enabled by default on appservice; platform-enforced,appservice,Medium,Narrow,2
DP-3,Data in Transit Encryption,True,False,implemented,implemented,Add a TLS/SSL certificate in Azure App Service: https://docs.microsoft.com/azure/app-service/configure-ssl-certificate?tabs=apex%2Cportal,,,LIVE-DIRECT: Data in Transit Encryption supported but not enabled by default; customer must configure; verify ARM property,appservice,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Data Leakage/Loss Prevention not supported; web research 2026 confirms no change; still_not_applicable,appservice,Medium,Wide,4
LT-1,Microsoft Defender for Service / Product Offering,True,False,implemented,implemented,Protect your web apps and APIs: https://docs.microsoft.com/azure/defender-for-cloud/defender-for-app-service-introduction,,,LIVE-DIRECT: Microsoft Defender for Service / Product Offering supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,Set up Azure App Service access restrictions: https://docs.microsoft.com/azure/app-service/app-service-ip-restrictions,,,LIVE-DIRECT: Disable Public Network Access supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; EDR Solution not applicable to this service by design; not_applicable_paas,appservice,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,Use Key Vault references for App Service and Azure Functions: https://docs.microsoft.com/azure/app-service/app-service-key-vault-references,,,LIVE-DIRECT: Key Management in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property,appservice,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Local Admin Accounts not applicable to this service by design; not_applicable_paas,appservice,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,Authentication and authorization in Azure App Service and Azure Functions: https://docs.microsoft.com/azure/app-service/overview-authentication-authorization,,,LIVE-DIRECT: Local Authentication Methods for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
IM-3,Managed Identities,True,False,implemented,implemented,How to use managed identities for App Service and Azure Functions: https://docs.microsoft.com/azure/app-service/overview-managed-identity,,,LIVE-DIRECT: Managed Identities supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
BR-1,Service Native Backup Capability,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Service Native Backup Capability not supported; web research 2026 confirms no change; still_not_applicable,appservice,Medium,Wide,4
NS-1,Network Security Group Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Network Security Group Support enabled by default on appservice; platform-enforced,appservice,High,Narrow,3
NS-2,Azure Private Link,True,False,now_applicable_native,now_applicable_native,Microsoft.Web/sites/properties/privateEndpointConnections,,,"now_applicable_native: Azure App Service supports Private Endpoints (private link) for inbound traffic isolation; introduced 2020, GA for all tiers Standard+; check privateEndpointConnections on site resource",appservice,High,Wide,6
NS-2,Azure Private Link,True,False,now_applicable_native,now_applicable_native,Microsoft.Web/sites/properties/privateEndpointConnections,,,"now_applicable_native: Azure App Service supports Private Endpoints (private link) for inbound traffic isolation; introduced 2020, GA for all tiers Standard+; check privateEndpointConnections on site resource",appservice,High,Wide,6
LT-4,Azure Resource Logs,True,False,implemented,implemented,Enable diagnostics logging for apps in Azure App Service: https://docs.microsoft.com/azure/app-service/troubleshoot-diagnostic-logs,,,LIVE-DIRECT: Azure Resource Logs supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Sensitive Data Discovery and Classification not supported; web research 2026 confirms no change; still_not_applicable,appservice,Medium,Wide,4
NS-1,Virtual Network Integration,True,False,implemented,implemented,Integrate your app with an Azure virtual network: https://docs.microsoft.com/azure/app-service/overview-vnet-integration,,,LIVE-DIRECT: Virtual Network Integration supported but not enabled by default; customer must configure; verify ARM property,appservice,High,Wide,6
PV-5,Vulnerability Assessment using Microsoft Defender,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Vulnerability Assessment using Microsoft Defender not applicable to this service by design; not_applicable_paas,appservice,Low,Wide,2
NS-6,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,High,Wide,6
PV-7,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,Low,Wide,2
AM-4,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,Medium,Wide,4
DS-6,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,Medium,Wide,4
NS-5,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,High,Wide,6
PV-2,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,Low,Wide,2
PV-2,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,Low,Wide,2
PV-2,No Related Feature,No Related Feature,No Related Feature,still_not_applicable,still_not_applicable,,,,feature_supported=No Related Feature; No Related Feature; not_applicable,appservice,Low,Wide,2
