"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Azure Intelligent Recommendations enforces Entra ID authentication for API access; AAD token required for all data plane calls"
"IM-1","Azure AD Authentication Required for Data Plane Access","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Azure Intelligent Recommendations enforces Entra ID authentication for API access; AAD token required for all data plane calls"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Intelligent Recommendations is PaaS; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations uses AAD token auth; no service credentials requiring Key Vault storage; not_applicable"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Intelligent Recommendations is a PaaS service; underlying compute anti-malware is Microsoft-managed; not_applicable"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; PaaS service not applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; PaaS Intelligent Recommendations service not applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Update Management targets customer VMs; PaaS service not applicable"
"BR-1","Azure Backup","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not use Azure Backup; not_applicable"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Guest Configuration targets VMs; PaaS service not applicable"
"AM-2","Azure Policy Support","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not support Azure Policy assignment; not_applicable"
"PA-7","Azure RBAC for Data Plane","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not support Azure RBAC for data plane access; not_applicable"
"DP-7","Certificate Management in Azure Key Vault","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not use Key Vault for certificate management; not_applicable"
"IM-7","Conditional Access for Data Plane","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Conditional Access evaluates Entra ID sign-in; Intelligent Recommendations API uses token auth; not_applicable"
"PA-8","Customer Lockbox","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations not in Customer Lockbox supported service list; not_applicable"
"PV-3","Custom Containers Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Intelligent Recommendations does not run customer container workloads; not_applicable"
"PV-3","Custom VM Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Intelligent Recommendations PaaS does not expose VM image customization; not_applicable"
"DP-5","Data at Rest Encryption Using CMK","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not support CMK; Microsoft-managed encryption only; not_applicable"
"DP-4","Data at Rest Encryption Using Platform Keys","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Customer content at rest encrypted with Microsoft-managed keys by default; platform-enforced"
"DP-3","Data in Transit Encryption","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: TLS 1.2 enforced for all API traffic; platform-enforced"
"DP-2","Data Leakage/Loss Prevention","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not support DLP controls; not_applicable"
"LT-1","Microsoft Defender for Service / Product Offering","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; no Microsoft Defender plan for Intelligent Recommendations; not_applicable"
"NS-2","Disable Public Network Access","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not support disabling public network access; not_applicable"
"ES-1","EDR Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; EDR targets customer-managed endpoints; PaaS service not applicable"
"DP-6","Key Management in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Intelligent Recommendations does not use Key Vault for key management; not_applicable"
"PA-1","Local Admin Accounts","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations PaaS does not expose local admin accounts; not_applicable"
"IM-1","Local Authentication Methods for Data Plane Access","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations requires AAD auth; local authentication methods not supported; not_applicable"
"IM-3","Managed Identities","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Intelligent Recommendations does not support Managed Identity assignment; not_applicable"
