asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; THIM service provides unauthenticated public cache of hardware attestation collateral (TPM/SEV-SNP certificates); public endpoint by design — no AAD auth required or applicable; not_applicable,trustedhardwareim,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Low,Wide,2
AM-2,Azure Policy Support,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,High,Wide,6
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable,trustedhardwareim,Medium,Wide,4
