asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,upgraded_implemented,now_applicable_native,properties.disableAccessKeyAuthentication,im_redis,check_im1_aad_auth_required,Microsoft Entra ID authentication GA Nov 2024 for Basic/Standard/Premium tiers (not Enterprise tiers). Disabling access keys and enforcing Entra auth is configurable. Azure Policy built-in: 'Azure Cache for Redis should not use access keys for authentication'. ARM check: properties.disableAccessKeyAuthentication.,redis,High,Narrow,3
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,am_redis,check_am5_defender_aac,feature_supported=Not Applicable; Adaptive Application Controls requires VM agents; Azure Cache for Redis is PaaS.,redis,Medium,Narrow,2
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,see script,im_redis,check_im8_keyvault_secrets,feature_supported=False; Redis does not store operational secrets in Key Vault; PSK/access keys managed via Azure portal/CLI.,redis,High,Narrow,3
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,es_redis,check_es2_antimalware,"Azure Cache for Redis is fully managed PaaS — no customer-accessible OS layer, no VM, no container image. Anti-malware (Defender for Endpoint, Windows Defender, ClamAV) cannot be deployed by customers. Microsoft manages the underlying OS internally. Structurally not applicable for any Redis SKU.",redis,Medium,Narrow,2
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,es_redis,check_es3_antimalware_health,feature_supported=Not Applicable; Anti-malware health monitoring requires compute agent; Redis is PaaS.,redis,Medium,Narrow,2
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,pv_redis,check_pv3_automation_state_config,feature_supported=Not Applicable; Azure Automation DSC requires OS agent; Redis is PaaS.,redis,Low,Narrow,1
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,pv_redis,check_pv6_update_management,Azure Automation Update Management patches OS-level software on VMs. Azure Cache for Redis is fully managed PaaS — Microsoft patches the underlying OS. Customers have no OS access. This control is structurally inapplicable for all Redis SKUs.,redis,Low,Narrow,1
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,see script,br_redis,check_br1_azure_backup,feature_supported=False; Azure Backup not supported for Azure Cache for Redis; no backup service integration.,redis,Medium,Narrow,2
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,pv_redis,check_pv3_guest_config_agent,feature_supported=Not Applicable; Guest Configuration requires compute agent; Redis is PaaS.,redis,Low,Narrow,1
AM-2,Azure Policy Support,True,False,implemented,implemented,Microsoft.Cache/Redis,am_redis,check_am2_policy,LIVE-DIRECT: Azure Policy built-in definitions available for Azure Cache for Redis compliance.,redis,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,False,Not Applicable,upgraded_implemented,now_applicable_native,Microsoft.Cache/redis/accessPolicies and properties.disableAccessKeyAuthentication,pa_redis,check_pa7_rbac_data_plane,"Entra ID RBAC via ACL-based access policies GA Nov 2024 for Basic/Standard/Premium tiers. Three built-in policies: Data Owner, Data Contributor, Data Reader. Custom policies supported. ARM resources: Microsoft.Cache/redis/accessPolicies and Microsoft.Cache/redis/accessPolicyAssignments. Check disableAccessKeyAuthentication + list access policy assignments.",redis,High,Narrow,3
DP-7,Certificate Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,see script,dp_redis,check_dp7_cert_kv,"Azure Cache for Redis manages its own TLS certificates internally (Microsoft-managed). Customers cannot supply custom TLS certificates via Azure Key Vault for the Redis endpoint. Only minimumTlsVersion is customer-configurable (1.2 enforced from Apr 2025). KV integration exists only for CMK disk encryption keys (Enterprise tier, DP-5/DP-6), not for TLS certificate management.",redis,Medium,Narrow,2
IM-7,Conditional Access for Data Plane,False,Not Applicable,conditional_unknown,conditional,see script,im_redis,check_im7_conditional_access,"Since Entra ID auth is GA for Redis (Nov 2024), Azure AD Conditional Access policies do apply to the Entra authentication flow for Redis data plane access. However CA policies are configured in Entra ID / Microsoft Graph — not in the Redis ARM resource. Not checkable via azure-mgmt-redis SDK. Requires IM-1 (Entra auth) to be enabled first. Script not feasible via Redis ARM alone.",redis,High,Wide,6
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,see script,pa_redis,check_pa8_customer_lockbox,"Official Customer Lockbox supported services list (as of 2025-05) does NOT include Azure Cache for Redis. List includes Azure SQL, Azure Storage, AKS, Azure Functions, etc. — but not Redis. Status unchanged from v3 baseline.",redis,High,Narrow,3
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,pv_redis,check_pv3_custom_container_images,feature_supported=Not Applicable; Custom container images require ACI/AKS; Redis is PaaS.,redis,Low,Narrow,1
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,pv_redis,check_pv3_custom_container_images,feature_supported=Not Applicable; Custom VM images require IaaS; Redis is PaaS.,redis,Low,Narrow,1
DP-5,Data at Rest Encryption Using CMK,False,Not Applicable,conditional_unknown,conditional,properties.encryption.customerManagedKeyEncryption.keyEncryptionKeyUrl (Microsoft.Cache/redisEnterprise),dp_redis,check_dp5_cmk,"CMK disk encryption GA Feb 2024 for Enterprise and Enterprise Flash tiers ONLY. Basic/Standard/Premium use Microsoft-managed keys only; CMK not supported on those tiers. Enterprise check via Microsoft.Cache/redisEnterprise resource. If org uses only Basic/Standard/Premium, verdict is still_not_applicable.",redis,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,see script,dp_redis,check_dp4_platform_keys,microsoft_managed: Azure Cache for Redis encrypts all data at rest using platform-managed keys by default.,redis,Medium,Narrow,2
