asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,upgraded_implemented,now_applicable_native,properties.disableAccessKeyAuthentication,im_redis,check_im1_aad_auth_required,Microsoft Entra ID authentication GA Nov 2024 for Basic/Standard/Premium tiers (not Enterprise tiers). Disabling access keys and enforcing Entra auth is configurable. Azure Policy built-in: 'Azure Cache for Redis should not use access keys for authentication'. ARM check: properties.disableAccessKeyAuthentication.
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,am_redis,check_am5_defender_aac,
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,implemented,n/a,see script,im_redis,check_im8_keyvault_secrets,
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,es_redis,check_es2_antimalware,"Azure Cache for Redis is fully managed PaaS — no customer-accessible OS layer, no VM, no container image. Anti-malware (Defender for Endpoint, Windows Defender, ClamAV) cannot be deployed by customers. Microsoft manages the underlying OS internally. Structurally not applicable for any Redis SKU."
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,es_redis,check_es3_antimalware_health,
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,pv_redis,check_pv3_automation_state_config,
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,see script,pv_redis,check_pv6_update_management,Azure Automation Update Management patches OS-level software on VMs. Azure Cache for Redis is fully managed PaaS — Microsoft patches the underlying OS. Customers have no OS access. This control is structurally inapplicable for all Redis SKUs.
BR-1,Azure Backup,False,Not Applicable,implemented,n/a,see script,br_redis,check_br1_azure_backup,
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,pv_redis,check_pv3_guest_config_agent,
AM-2,Azure Policy Support,True,False,implemented,n/a,see script,am_redis,check_am2_policy,
PA-7,Azure RBAC for Data Plane,False,Not Applicable,upgraded_implemented,now_applicable_native,Microsoft.Cache/redis/accessPolicies and properties.disableAccessKeyAuthentication,pa_redis,check_pa7_rbac_data_plane,"Entra ID RBAC via ACL-based access policies GA Nov 2024 for Basic/Standard/Premium tiers. Three built-in policies: Data Owner, Data Contributor, Data Reader. Custom policies supported. ARM resources: Microsoft.Cache/redis/accessPolicies and Microsoft.Cache/redis/accessPolicyAssignments. Check disableAccessKeyAuthentication + list access policy assignments."
DP-7,Certificate Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,see script,dp_redis,check_dp7_cert_kv,"Azure Cache for Redis manages its own TLS certificates internally (Microsoft-managed). Customers cannot supply custom TLS certificates via Azure Key Vault for the Redis endpoint. Only minimumTlsVersion is customer-configurable (1.2 enforced from Apr 2025). KV integration exists only for CMK disk encryption keys (Enterprise tier, DP-5/DP-6), not for TLS certificate management."
IM-7,Conditional Access for Data Plane,False,Not Applicable,conditional_unknown,conditional,see script,im_redis,check_im7_conditional_access,"Since Entra ID auth is GA for Redis (Nov 2024), Azure AD Conditional Access policies do apply to the Entra authentication flow for Redis data plane access. However CA policies are configured in Entra ID / Microsoft Graph — not in the Redis ARM resource. Not checkable via azure-mgmt-redis SDK. Requires IM-1 (Entra auth) to be enabled first. Script not feasible via Redis ARM alone."
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,see script,pa_redis,check_pa8_customer_lockbox,"Official Customer Lockbox supported services list (as of 2025-05) does NOT include Azure Cache for Redis. List includes Azure SQL, Azure Storage, AKS, Azure Functions, etc. — but not Redis. Status unchanged from v3 baseline."
PV-3,Custom Containers Images,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,pv_redis,check_pv3_custom_container_images,
PV-3,Custom VM Images,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,pv_redis,check_pv3_custom_container_images,
DP-5,Data at Rest Encryption Using CMK,False,Not Applicable,conditional_unknown,conditional,properties.encryption.customerManagedKeyEncryption.keyEncryptionKeyUrl (Microsoft.Cache/redisEnterprise),dp_redis,check_dp5_cmk,"CMK disk encryption GA Feb 2024 for Enterprise and Enterprise Flash tiers ONLY. Basic/Standard/Premium use Microsoft-managed keys only; CMK not supported on those tiers. Enterprise check via Microsoft.Cache/redisEnterprise resource. If org uses only Basic/Standard/Premium, verdict is still_not_applicable."
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,n/a,see script,dp_redis,check_dp4_platform_keys,
DP-3,Data in Transit Encryption,True,True,implemented,n/a,see script,dp_redis,check_dp3_tls_transit,
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,implemented,n/a,see script,dp_redis,check_dp2_dlp,
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,see script,lt_redis,check_lt1_defender,"Defender for Cloud support matrix (2024): Azure Cache for Redis receives only CSPM recommendations (foundational), no security alerts, no vulnerability assessment. Defender for Open-Source Relational Databases covers PostgreSQL/MySQL/MariaDB only — Redis is NOT a relational database and is NOT included. No Defender for Redis product exists. v3 baseline status unchanged: False / Not Applicable."
NS-2,Disable Public Network Access,True,True,implemented,n/a,see script,ns_redis,check_ns2_disable_public_access,
ES-1,EDR Solution,Not Applicable,Not Applicable,not_applicable_paas,n/a,see script,es_redis,check_es1_edr,
DP-6,Key Management in Azure Key Vault,False,Not Applicable,conditional_unknown,conditional,properties.encryption.customerManagedKeyEncryption.keyEncryptionKeyUrl (Microsoft.Cache/redisEnterprise),dp_redis,check_dp6_key_management_kv,Azure Key Vault integration for key management (CMK) GA Feb 2024 for Enterprise and Enterprise Flash tiers. Enterprise tier uses KV to store key encryption keys (KEK) for disk encryption. Basic/Standard/Premium: no KV key management integration. Same tier restriction as DP-5.
PA-1,Local Admin Accounts,False,Not Applicable,implemented,n/a,see script,pa_redis,check_pa1_local_admin,
IM-1,Local Authentication Methods for Data Plane Access,True,True,implemented,n/a,see script,im_redis,check_im1_local_auth_methods,
IM-3,Managed Identities,False,Not Applicable,upgraded_implemented,now_applicable_native,Microsoft.Cache/redis/accessPolicyAssignments (objectId of assigned MI),im_redis,check_im3_managed_identities,"Client applications can authenticate to Redis data plane using managed identity tokens via Entra ID (GA Nov 2024). Additionally, cache-side managed identity for storage connections (persistence/import-export) GA for Premium tier. Check: Entra auth enabled + access policy assignments with MI object IDs. Entra auth required first (IM-1)."
BR-1,Service Native Backup Capability,False,Not Applicable,implemented,n/a,see script,br_redis,check_br1_azure_backup,
NS-1,Network Security Group Support,True,False,implemented,n/a,see script,ns_redis,check_ns1_nsg,
NS-2,Azure Private Link,True,False,implemented,n/a,see script,ns_redis,check_ns2_private_link,
LT-4,Azure Resource Logs,True,False,implemented,n/a,see script,lt_redis,check_lt4_resource_logs,
DP-1,Sensitive Data Discovery and Classification,False,Not Applicable,still_not_applicable,still_not_applicable,see script,n/a,n/a,"Microsoft Purview data map cannot scan Azure Cache for Redis. Purview scans structured/semi-structured stores (Azure SQL, Blob Storage, ADLS Gen2, Cosmos DB). Redis is an in-memory key-value cache — data is ephemeral, schema-less, and not scannable by Purview. No native data classification feature exists for Redis. Purview can detect Redis connection strings as secrets (Defender CSPM secrets scanning) but that is not data classification."
