"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS IS the Azure AD Domain Services identity provider — it is not a consumer of AAD auth; it provides Kerberos/LDAP for domain members; not_applicable at AAD DS service level"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Adaptive Application Controls targets VMs; ADDDS is a PaaS managed domain service; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; ADDDS does not expose service credentials for Key Vault storage; fully Microsoft-managed; not_applicable"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; ADDDS is a PaaS managed service; underlying compute anti-malware is Microsoft-managed; not_applicable at ADDDS resource level"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; anti-malware health monitoring applies to customer-managed VMs; ADDDS PaaS service not applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; ADDDS managed nodes not configurable via customer Automation accounts; not_applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Update Management targets customer-owned VMs; ADDDS managed service patching is Microsoft-owned; not_applicable"
"BR-1","Azure Backup","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; ADDDS does not use Azure Backup service; Microsoft-managed native backup covers domain state; not_applicable"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Guest Configuration Agent targets customer VMs; ADDDS managed nodes not accessible for guest config; not_applicable"
"AM-2","Azure Policy Support","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Azure Policy governance applies via tags and resource properties; customer cannot configure directly on the ADDDS PaaS control"
"PA-7","Azure RBAC for Data Plane","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS management plane uses ARM RBAC; data plane (domain join, LDAP queries) uses Kerberos/NTLM auth, not Azure RBAC; not_applicable"
"DP-7","Certificate Management in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; ADDDS does not use Key Vault for certificate lifecycle management; LDAPS certificate is customer-provided but not Key Vault-managed; not_applicable"
"IM-7","Conditional Access for Data Plane","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Conditional Access evaluates Entra ID sign-in; ADDDS data plane uses Kerberos/NTLM not Entra interactive auth; not_applicable"
"PA-8","Customer Lockbox","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Customer Lockbox not supported for ADDDS; not_applicable"
"PV-3","Custom Containers Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; ADDDS does not run customer container workloads; not_applicable"
"PV-3","Custom VM Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; ADDDS domain controllers run Microsoft-managed images; customer cannot supply VM images; not_applicable"
"DP-5","Data at Rest Encryption Using CMK","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS does not support Customer-Managed Keys for data at rest; Microsoft-managed encryption only; not_applicable"
"DP-4","Data at Rest Encryption Using Platform Keys","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: platform-enforced, enabled by default, not customer-configurable"
"DP-3","Data in Transit Encryption","True","False","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: ADDDS enforces LDAPS (TCP 636) and Kerberos over TLS for data in transit; platform-configured; customers must configure LDAPS cert but TLS is enforced"
"DP-2","Data Leakage/Loss Prevention","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS does not support DLP controls at the service level; not_applicable"
"LT-1","Microsoft Defender for Service / Product Offering","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; no Microsoft Defender plan for ADDDS as a service; Defender for Identity can monitor ADDDS-joined VMs but does not protect the ADDDS PaaS resource itself"
"NS-2","Disable Public Network Access","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS requires public IP for Azure portal management connectivity; no disable-public-access toggle; network access controlled via NSG on the ADDDS subnet"
"ES-1","EDR Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; EDR applies to customer-managed endpoints/VMs; ADDDS managed nodes not customer-accessible; not_applicable"
"DP-6","Key Management in Azure Key Vault","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS does not integrate with Key Vault for key management; not_applicable"
"PA-1","Local Admin Accounts","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS managed service does not expose local admin accounts to customers; Microsoft manages the domain controller OS accounts; not_applicable"
"IM-1","Local Authentication Methods for Data Plane Access","True","False","implemented","implemented","N/A — LIVE→UNKNOWN (no ARM property)","","","LIVE→UNKNOWN: ADDDS supports Kerberos and NTLM local auth methods; NTLM can be restricted via fine-grained password policy but no ARM property to inspect remotely; verify via Azure Policy audit"
"IM-3","Managed Identities","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS does not support Managed Identity assignment; it is the identity provider, not a consumer of managed identity; not_applicable"
"BR-1","Service Native Backup Capability","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: ADDDS managed service backup is platform-enforced; frequency determined by SKU (hourly/daily); customer cannot configure"
"NS-1","Network Security Group Support","True","False","implemented","implemented","subnet(aadds-subnet).network_security_group","","","LIVE-DIRECT: NSG required on ADDDS dedicated subnet; NSG existence confirms compliance; do not validate individual rules (Microsoft-required rules are auto-applied)"
"NS-2","Azure Private Link","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS is not a Private Link-capable service; it requires dedicated subnet within customer VNet"
"LT-4","Azure Resource Logs","True","False","implemented","implemented","DiagnosticSettings(domainService.id).logs","","","LIVE-DIRECT: ADDDS emits security audit logs (Kerberos auth, NTLM auth, LDAP bind); check DiagnosticSettings for log category enabled"
"DP-1","Sensitive Data Discovery and Classification","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS does not support data discovery or classification; not_applicable"
"IM-3","Service Principals","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; ADDDS does not support Service Principal authentication; management plane uses ARM RBAC; not_applicable"
"NS-1","Virtual Network Integration","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: ADDDS deploys into a dedicated subnet in customer VNet; VNet integration is required and platform-enforced"
"PV-5","Vulnerability Assessment using Microsoft Defender","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Vulnerability Assessment targets customer VMs; ADDDS PaaS service not applicable"
