asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/ns_networkwatcher,check_ns1_nsg,NW auto-provisions per region in NetworkWatcherRG; no NSG on NW resource; NSG applies to monitored VNet resources | Network Watcher is an Azure monitoring service with no subnet/VNet presence. NSG protection not applicable to this resource type. Source: https://learn.microsoft.com/en-us/azure/network-watcher/network-watcher-overview,networkwatcher,High,Wide,6
NS-1,Virtual Network Integration,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/ns_networkwatcher,check_ns1_vnet,NW monitors VNets but does not join them; no VNet integration control applicable to NW resource | Network Watcher is a monitoring/diagnostic service. It enables VNet diagnostics but does not itself reside in a VNet. Source: https://learn.microsoft.com/en-us/azure/network-watcher/network-watcher-overview,networkwatcher,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/ns_networkwatcher,check_ns2_private_link,ARM control-plane service with no data-plane endpoint; Private Link not applicable | Network Watcher is a regional monitoring service accessed via ARM APIs. No Private Link endpoint available for the service itself. Source: https://learn.microsoft.com/en-us/azure/network-watcher/network-watcher-overview,networkwatcher,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/ns_networkwatcher,check_ns2_disable_public,ARM control-plane only; no public/private toggle for NW resource | Network Watcher operates via ARM management plane. No public data plane endpoint to disable. Source: https://learn.microsoft.com/en-us/azure/network-watcher/network-watcher-overview,networkwatcher,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/dp_networkwatcher,check_dp1_data_classification,"NW stores operational metadata only; no customer PII/business data; Purview/AIP not applicable | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",networkwatcher,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/dp_networkwatcher,check_dp2_dlp,"No DLP for NW resource; DLP applies to Storage Account holding flow logs | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",networkwatcher,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,platform (HTTPS/TLS 1.2+ enforced by ARM),networkwatcher/dp_networkwatcher,check_dp3_tls_transit,feature_supported=True enabled_by_default=True → PASS static (microsoft_managed); NW mgmt API uses HTTPS/TLS; platform-enforced,networkwatcher,Medium,Narrow,2
DP-4,Data at Rest Encryption Using Platform Keys,True,False,implemented,implemented,platform (microsoft-managed keys),networkwatcher/dp_networkwatcher,check_dp4_platform_keys,NW resource metadata encrypted at rest by platform-managed keys by default → PASS static (microsoft_managed) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/network-watcher-security-baseline,networkwatcher,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/dp_networkwatcher,check_dp5_cmk,"CMK not supported on NW resource; apply CMK to Storage Account holding flow logs | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",networkwatcher,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,networkwatcher/dp_networkwatcher,check_dp6_key_mgmt,"NW holds no keys/secrets; KV integration applies to storage account for flow logs | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",networkwatcher,Medium,Wide,4
