asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Microsoft.ApiManagement/service/authorizationServers,,,LIVE-DIRECT: API Management supports AAD/Entra ID OAuth2 for API data plane; configure via Authorization Servers or validate-jwt policy.,apimanagement,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls requires VM agents; API Management is PaaS.,apimanagement,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,Microsoft.ApiManagement/service/namedValues,,,LIVE-DIRECT: API Management Named Values supports Azure Key Vault integration for secrets; configure via namedValues with keyVault references.,apimanagement,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-malware requires compute OS agent; API Management is fully managed PaaS.,apimanagement,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Health monitoring for anti-malware requires compute agent; API Management is PaaS.,apimanagement,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Automation DSC requires OS agent; API Management is PaaS.,apimanagement,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management requires compute agent; API Management is PaaS.,apimanagement,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Azure Backup not supported for API Management; use native backup/restore via REST API instead.,apimanagement,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration agent requires compute OS; API Management is PaaS.,apimanagement,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,Microsoft.ApiManagement/service,,,"LIVE-DIRECT: Azure Policy built-in definitions available for API Management; enforce HTTPS-only, named values encryption, etc.",apimanagement,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.ApiManagement/service,,,"LIVE-DIRECT: Azure RBAC supported for API Management data plane via built-in roles (API Management Service Reader, Contributor, Operator).",apimanagement,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,Microsoft.ApiManagement/service/certificates,,,LIVE-DIRECT: API Management supports custom SSL/TLS certificates managed and auto-renewed via Azure Key Vault.,apimanagement,Medium,Wide,4
IM-7,Conditional Access for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=False; Conditional Access applies to API Management management plane (AAD login); data plane API calls use subscription keys or OAuth, not Conditional Access.",apimanagement,High,Wide,6
PA-8,Customer Lockbox,True,False,implemented,implemented,Microsoft.ApiManagement/service,,,LIVE-DIRECT: Azure API Management is listed in Customer Lockbox supported services; Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/customer-lockbox-overview,apimanagement,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom container images require ACI/AKS workloads; API Management is fully managed PaaS.,apimanagement,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom VM images require IaaS; API Management is PaaS.,apimanagement,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; API Management does not support customer-managed keys; platform-managed encryption at rest.,apimanagement,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Platform key encryption managed by Microsoft; API Management metadata encrypted at rest by default (microsoft_managed).,apimanagement,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,,,,microsoft_managed: API Management enforces TLS 1.2+ for all data plane communications by default.,apimanagement,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=False; No dedicated DLP feature; API Management policy-based filtering (rate limit, IP filter) available but not DLP.",apimanagement,Medium,Wide,4
