asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure AD Authentication Required for Data Plane Access not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,N/A — credential mgmt is customer responsibility via connected services,,,LIVE-DIRECT: Service Credential and Secrets Support Integration and Storage in Azure Key Vault supported but not enabled by default on Virtual WAN; verify N/A — credential mgmt is customer responsibility via connected services | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-wan-security-baseline,virtualwan,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,virtualwan,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,virtualwan,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,virtualwan,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,N/A — microsoft_managed via Azure Policy framework,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default on Virtual WAN; verify N/A — microsoft_managed via Azure Policy framework | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-wan-security-baseline,virtualwan,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure RBAC for Data Plane not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Certificate Management in Azure Key Vault not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Conditional Access for Data Plane not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Customer Lockbox not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom Containers Images not applicable to this service by design; not_applicable_paas,virtualwan,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom VM Images not applicable to this service by design; not_applicable_paas,virtualwan,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Data at Rest Encryption Using CMK not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Data at Rest Encryption Using Platform Keys not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
DP-3,Data in Transit Encryption,True,False,implemented,implemented,Encryption in transit: https://docs.microsoft.com/en/azure/virtual-wan/vpn-over-expressroute,,,LIVE-DIRECT: Data in Transit Encryption supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-wan-security-baseline,virtualwan,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Data Leakage/Loss Prevention not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Microsoft Defender for Service / Product Offering not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-wan-security-baseline,virtualwan,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Disable Public Network Access not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; EDR Solution not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,virtualWan.properties.vpnSites[*].vpnSiteLinks — PSK via Key Vault optional,,,LIVE-DIRECT: Key Management in Azure Key Vault supported but not enabled by default on Virtual WAN; verify virtualWan.properties.vpnSites[*].vpnSiteLinks — PSK via Key Vault optional | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-wan-security-baseline,virtualwan,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Local Admin Accounts not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Local Authentication Methods for Data Plane Access not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
IM-3,Managed Identities,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Managed Identities not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Service Native Backup Capability not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
NS-1,Network Security Group Support,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Network Security Group Support not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Private Link not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
LT-4,Azure Resource Logs,True,False,implemented,implemented,Resource logs: https://docs.microsoft.com/azure/virtual-wan/monitor-virtual-wan-reference#diagnostic,,,LIVE-DIRECT: Azure Resource Logs supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-wan-security-baseline,virtualwan,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Sensitive Data Discovery and Classification not applicable to this service by design; not_applicable_paas,virtualwan,Medium,Wide,4
IM-3,Service Principals,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Service Principals not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
NS-1,Virtual Network Integration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Virtual Network Integration not applicable to this service by design; not_applicable_paas,virtualwan,High,Wide,6
PV-5,Vulnerability Assessment using Microsoft Defender,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Vulnerability Assessment using Microsoft Defender not applicable to this service by design; not_applicable_paas,virtualwan,Low,Wide,2
NS-7-SUPPLEMENT-VIRTUALWAN,Forced Tunneling for Virtual WAN Secure Hubs via NVA/SASE,False,False,gap,conditional,properties.routingConfiguration.propagatedRouteTables,,,v2 gap: Virtual WAN Secure Hub now supports forced tunneling — routes internet-bound traffic from spoke VNets through a Network Virtual Appliance (NVA) or SASE solution deployed in a spoke VNet connected to Virtual WAN. Enables centralized internet traffic inspection (NS-7: centralized network security management) for all connected workloads. Conditional: requires Secure Hub deployment with Azure Firewall or NVA; routing configuration must explicitly set next-hop to NVA private IP for 0.0.0.0/0 route. Source: https://learn.microsoft.com/en-us/azure/virtual-wan/whats-new | Q2-D WebSearch June 2026 confirmed GA.,virtualwan,High,Wide,5
