asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Configure deployment credentials - disable basic authentication: https://docs.microsoft.com/azure/app-service/deploy-configure-credentials#disable-basic-authentication,,,LIVE-DIRECT: Azure AD Authentication Required for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property,functions,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,functions,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,Use Key Vault references for App Service and Azure Functions: https://docs.microsoft.com/azure/app-service/app-service-key-vault-references?toc=%2Fazure%2Fazure-functions%2Ftoc.json,,,LIVE-DIRECT: Service Credential and Secrets Support Integration and Storage in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property,functions,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,functions,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,functions,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,functions,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,functions,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure Backup not supported; web research 2026 confirms no change; still_not_applicable,functions,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,functions,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,N/A — microsoft_managed via Azure Policy framework,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default on Azure Functions; verify N/A — microsoft_managed via Azure Policy framework,functions,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,RBAC permissions required to access Kudu: https://docs.microsoft.com/azure/app-service/resources-kudu#rbac-permissions-required-to-access-kudu,,,LIVE-DIRECT: Azure RBAC for Data Plane supported but not enabled by default; customer must configure; verify ARM property,functions,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,Add a TLS/SSL certificate in Azure App Service: https://docs.microsoft.com/azure/app-service/configure-ssl-certificate,,,LIVE-DIRECT: Certificate Management in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property,functions,Medium,Wide,4
IM-7,Conditional Access for Data Plane,True,False,implemented,implemented,Microsoft.Web/sites/config/authsettingsV2,,,LIVE-DIRECT: Conditional Access for Data Plane supported but not enabled by default on Azure Functions; verify Microsoft.Web/sites/config/authsettingsV2,functions,High,Wide,6
