"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Universal Print enforces Entra ID authentication for all print operations; AAD required for printer registration and print job submission"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Universal Print is a SaaS service; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Universal Print uses AAD authentication; no service credentials requiring Key Vault storage; not_applicable"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Universal Print is a SaaS service; anti-malware not applicable at service resource level; not_applicable"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; SaaS Universal Print not applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; SaaS Universal Print not applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Update Management targets customer VMs; SaaS Universal Print not applicable"
"BR-1","Azure Backup","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Universal Print is a SaaS service with no customer data requiring Azure Backup; not_applicable"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Guest Configuration targets VMs; SaaS Universal Print not applicable"
"AM-2","Azure Policy Support","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Universal Print does not support Azure Policy assignment or resource tagging in standard deployment; not_applicable"
"PA-7","Azure RBAC for Data Plane","True","False","implemented","implemented","Microsoft.Print/printers/*/read (RBAC assignment)","","","LIVE-DIRECT: Universal Print uses Azure RBAC for printer management; Printer Administrator built-in role; check RBAC assignments on printer resources"
"DP-7","Certificate Management in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Universal Print does not use Key Vault for certificate management; not_applicable"
"IM-7","Conditional Access for Data Plane","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Conditional Access evaluates Entra ID sign-in sessions; Universal Print uses Microsoft Graph API with app permissions, not interactive sign-in; not_applicable"
"PA-8","Customer Lockbox","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Universal Print not in Customer Lockbox supported service list; not_applicable"
"PV-3","Custom Containers Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Universal Print does not run customer container workloads; not_applicable"
"PV-3","Custom VM Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Universal Print SaaS does not expose VM image customization; not_applicable"
"DP-5","Data at Rest Encryption Using CMK","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Universal Print supports Customer Key for Microsoft 365 encryption; platform-enforced CMK applied via Microsoft 365 compliance admin center"
"DP-4","Data at Rest Encryption Using Platform Keys","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: platform-enforced, enabled by default, not customer-configurable"
