asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,subnet(AzureBastionSubnet).network_security_group,bastion/ns_bastion,check_ns1_nsg,LIVE-DIRECT: check NSG existence on AzureBastionSubnet; NSG present → PASS; absent → FAIL; do NOT validate individual rules (prescriptive); cross-ref via subnets.get(rg vnet AzureBastionSubnet) parsed from bastion.ip_configurations[0].subnet.id,bastion,High,Wide,6
NS-1,Virtual Network Integration,True,False,implemented,implemented,subnet_name + subnet.address_prefix,bastion/ns_bastion,check_ns1_vnet,LIVE-DIRECT: subnet_name == 'AzureBastionSubnet' AND CIDR prefix <= /26; Azure enforces name but not always size; PASS if both conditions met; FAIL if wrong name or too small (/27 etc),bastion,High,Wide,6
NS-2,Azure Private Link,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/ns_bastion,check_ns2_private_link,feature_supported=False; Bastion has no Private Link for management plane; not_applicable | Exa 2026-06-19: feature_supported=False in MCSB v3 baseline. Azure Bastion has no Private Link integration for its management plane. Bastion user traffic flows from the browser to the bastion.azure.com portal endpoint — this path is not Private Link-capable. Bastion does not appear as a Private Link Service or Private Endpoint target. not_applicable. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview,bastion,High,Wide,6
NS-2,Disable Public Network Access,False,Not Applicable,conditional,conditional,Microsoft.Network/bastionHosts/sku.name,bastion/ns_bastion,check_ns2_disable_public,"conditional: Azure Bastion Private-only deployment (Premium SKU) eliminates public IP requirement. Standard tier still requires public IP. Check bastionHosts.sku.name — Premium=conditional, Standard=public required. Source: https://learn.microsoft.com/en-us/azure/bastion/private-only-deployment",bastion,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp1_sensitive_data,"Bastion is managed jump host; stores no customer data; data classification applies to VMs accessed via Bastion not Bastion itself; not_applicable | Exa 2026-06-19: Azure Bastion is a managed jump host service. It stores no customer data at rest. Data classification (Azure Purview, Microsoft Information Protection) targets services with data stores (Storage, SQL DB, Cosmos DB). Apply DP-1 to VMs and data services accessed via Bastion. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp2_dlp,"Bastion stores no persistent customer data; DLP targets services with data stores; not_applicable | Exa 2026-06-19: Bastion stores no persistent customer data. DLP solutions (Defender for Cloud, Microsoft Purview DLP) target services with data stores. Bastion is a session relay — it facilitates RDP/SSH connectivity without storing session content. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,bastion/dp_bastion,check_dp3_tls_transit,microsoft_managed: Bastion enforces TLS 1.2 for browser-to-bastion (HTTPS) and bastion-to-VM (RDP/SSH over TLS); platform-enforced; no customer config required,bastion,Medium,Narrow,2
DP-4,Data at Rest Encryption Using Platform Keys,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp4_platform_keys,"feature_supported=False; Bastion has no customer data store; not_applicable | Exa 2026-06-19: feature_supported=False in MCSB v3 baseline. Bastion has no customer data store to encrypt at rest. Bastion configuration metadata (subnet reference, public IP, SKU, scale units) is ARM object metadata protected by Microsoft-managed encryption at the platform level — not a customer-facing control. not_applicable. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp5_cmk,Bastion stores no customer data; apply CMK to VMs and disks accessed via Bastion if required; not_applicable | Exa 2026-06-19: Bastion stores no customer data at rest. CMK requires a customer data store. Apply CMK to VMs and disks accessed via Bastion if encryption at rest is required for that data. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview,bastion,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),bastion/dp_bastion,check_dp6_key_mgmt,LIVE→UNKNOWN: SSH keys can be stored in KV for Bastion native client sessions; connection-time behavioral pattern; no ARM property on BastionHost to inspect; verify via Azure Policy audit or manual review,bastion,Medium,Wide,4
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/dp_bastion,check_dp7_cert_kv,Bastion does not manage customer TLS certs via KV; Microsoft manages bastion.azure.com cert; not_applicable | Exa 2026-06-19: feature_supported=Not Applicable in MCSB v3 baseline. Bastion does not manage TLS certificates via Key Vault. Microsoft manages the bastion.azure.com TLS certificate. Customers do not configure certificates for the Bastion service itself. SSH key management (DP-6) is a separate feature that is supported via KV. not_applicable for DP-7. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview,bastion,Medium,Wide,4
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,bastion/im_bastion,check_im1_aad_auth,microsoft_managed: Bastion access authenticated via Entra ID through Azure portal; portal session validates identity before Bastion connection; management plane only,bastion,High,Narrow,3
IM-1,Local Authentication Methods for Data Plane Access,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/im_bastion,check_im1_local_auth,"feature_supported=False; Bastion has no local auth methods; all access via Entra ID; not_applicable | Exa 2026-06-19: feature_supported=False in MCSB v3 baseline. Bastion has no local authentication methods (no local username/password for accessing Bastion itself). All Bastion access is via Entra ID through the Azure portal or CLI. Note: VMs accessed via Bastion may use local OS credentials — that is VM auth, not Bastion auth. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,High,Wide,6
IM-3,Managed Identities,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/im_bastion,check_im3_managed_identities,"feature_supported=False; Bastion makes no outbound calls requiring MI; MI applies to VMs accessed via Bastion; not_applicable | Exa 2026-06-19: feature_supported=False in MCSB v3 baseline. Bastion makes no outbound Azure service calls requiring Managed Identity. Managed Identity applies to VMs and workloads accessed via Bastion, not to Bastion itself. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,High,Wide,6
IM-3,Service Principals,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/im_bastion,check_im3_service_principals,"feature_supported=Not Applicable; Bastion makes no outbound calls requiring SP identity; not_applicable | Exa 2026-06-19: feature_supported=Not Applicable in MCSB v3 baseline. Bastion makes no outbound Azure service calls requiring Service Principal identity. SP usage for automation (e.g., Terraform provisioning Bastion) is a management plane concern covered by ARM RBAC. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,High,Wide,6
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/im_bastion,check_im7_conditional_access,"feature_supported=Not Applicable; CA targets Entra ID-authenticated data planes; Bastion connectivity is not a CA-evaluable data plane endpoint; not_applicable | Exa 2026-06-19: feature_supported=Not Applicable in MCSB v3 baseline. Conditional Access targets Entra ID-authenticated data planes with explicit app registrations. Bastion connectivity (initiating an RDP/SSH session via portal) is not a CA-evaluable data plane endpoint. CA does apply to Azure portal access (management plane), which gates who can launch Bastion sessions. not_applicable at Bastion data plane level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,High,Wide,6
IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),bastion/im_bastion,check_im8_keyvault_secrets,LIVE→UNKNOWN: SSH private keys can be stored in KV for Bastion native client SSH sessions; connection-time behavioral pattern; no ARM property on BastionHost to inspect; same as DP-6,bastion,High,Wide,6
LT-1,Microsoft Defender for Service,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,bastion/lt_bastion,check_lt1_defender,"feature_supported=Not Applicable; no Defender plan for Azure Bastion; Defender covers VMs accessed via Bastion; not_applicable | Exa 2026-06-19: feature_supported=Not Applicable in MCSB v3 baseline. No Microsoft Defender plan exists for Azure Bastion as a service. Defender for Cloud monitors the VMs and other resources accessed via Bastion (Defender for Servers, Defender for Storage, etc.) — not Bastion itself. not_applicable at Bastion resource level. Source: https://learn.microsoft.com/en-us/azure/bastion/bastion-overview",bastion,High,Wide,6
