asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Web Application Firewall,True,False,implemented,implemented,webApplicationFirewallConfiguration.enabled+firewallMode / firewallPolicy,appgateway/ns_appgateway,check_ns1_waf,WAF inline Prevention mode OR firewall_policy linked (WAF v2) → PASS; Detection mode → FAIL; no WAF → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline,appgateway,High,Wide,6
NS-1,Network Security Group Support,True,False,not_applicable_arm,conditional,N/A (subnet-level),appgateway/ns_appgateway,check_ns1_nsg,"NSG supported on App Gateway v2 subnet with required rules (allow AzureLoadBalancer inbound, allow outbound internet). Private App Gateway deployment (GA May 2025) has enhanced NSG controls with subnet delegation to Microsoft.Network/applicationGateways. Conditional: specific inbound/outbound rules required; NSG flow logs not supported on v2 subnet. Source: https://learn.microsoft.com/en-us/azure/application-gateway/configuration-infrastructure",appgateway,High,Wide,6
NS-2,Azure Private Link,True,False,implemented,implemented,privateLinkConfigurations,appgateway/ns_appgateway,check_ns2_private_link,private_link_configurations non-empty → PASS (Private Link active on frontend) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline,appgateway,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,frontendIPConfigurations[*].publicIPAddress,appgateway/ns_appgateway,check_ns2_disable_public_access,No public_ip_address in any frontend_ip_configurations → PASS (private-only deployment) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline,appgateway,High,Wide,6
DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,False,Not Applicable,upgraded_implemented,now_applicable_native,webApplicationFirewallConfiguration.enabled+firewallMode / firewallPolicy,appgateway/dp_appgateway,check_dp2_dlp,WAF Prevention mode → traffic inspection/anomaly detection active → PASS proxy | MCSB v3 baseline (Feb 2025): False/Not Applicable. No native DLP solution for App Gateway traffic. Use Azure Monitor + Defender for Cloud policies for anomaly detection on subnet. Source: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline | WAF v2 provides anomaly scoring (CRS 3.2+) and DDoS attack detection. Integrate WAF logs with Azure Monitor for data anomaly tracking. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,appgateway,Medium,Narrow,2
DP-3,Encrypt Data in Transit — Frontend SSL Policy,True,False,implemented,implemented,sslPolicy.minProtocolVersion,appgateway/dp_appgateway,check_dp3_tls_transit,ssl_policy.min_protocol_version in (TLSv1_2 / TLSv1_3) → PASS; None → FAIL (allows TLS 1.0/1.1) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline,appgateway,Medium,Wide,4
DP-3,Encrypt Data in Transit — Backend TLS,True,False,implemented,implemented,backendHttpSettingsCollection[*].protocol,appgateway/dp_appgateway,check_dp3_tls_backend,All backend_http_settings_collection[*].protocol=Https → PASS; any Http → FAIL,appgateway,Medium,Wide,4
DP-4,Encrypt Data at Rest with Platform-Managed Keys,True,True,implemented,implemented,N/A (inherent — MS-managed),appgateway/dp_appgateway,check_dp4_platform_keys,AppGW configuration encrypted at rest with MS-managed keys by default — auto-PASS (static) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline,appgateway,Medium,Narrow,2
DP-5,Encrypt Data at Rest with Customer-Managed Key,True,False,not_applicable_managed,still_not_applicable,N/A,appgateway/dp_appgateway,check_dp5_cmk,AppGW does not support CMK; MS-managed keys only → UNKNOWN with rationale | App Gateway not in Azure CMK support list as of May 2026. Managed keys encrypt configuration data at platform level. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-customer-managed-keys-support,appgateway,Medium,Wide,4
DP-6,Manage Cryptographic Keys using Key Management Service,False,Not Applicable,upgraded_implemented,still_not_applicable,sslCertificates[*].keyVaultSecretId / identity,appgateway/dp_appgateway,check_dp6_key_mgmt,MCSB v3 baseline: DP-6 Key Management in Key Vault = False/Not Applicable. App Gateway does not support CMK or Key Vault key management. Note: DP-7 (certificate management via KV) IS supported — separate feature. Phase 48 cache incorrectly marked as now_applicable_native — reverted. Source: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/application-gateway-security-baseline,appgateway,Medium,Narrow,2
