"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell is a browser-based terminal accessed via Azure portal; portal session validates Entra ID identity before Cloud Shell is launched; Cloud Shell itself does not independently authenticate users; not_applicable at Cloud Shell resource level"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Adaptive Application Controls targets customer VMs; Cloud Shell ephemeral compute is Microsoft-managed; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell does not manage service credentials; users can call Key Vault from within a shell session; not_applicable at Cloud Shell service level"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell ephemeral containers are Microsoft-managed; anti-malware not customer-configurable; not_applicable"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; Cloud Shell ephemeral compute not applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; Cloud Shell ephemeral containers not applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Update Management targets customer VMs; Cloud Shell ephemeral compute is Microsoft-managed; not_applicable"
"BR-1","Azure Backup","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell session state is persisted in customer-owned Azure Storage; backup is responsibility of that storage account; not_applicable at Cloud Shell service level"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Guest Configuration targets customer VMs; Cloud Shell ephemeral containers not applicable"
"AM-2","Azure Policy Support","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Cloud Shell does not support Azure Policy assignment directly; no taggable resource in standard deployment; not_applicable"
"PA-7","Azure RBAC for Data Plane","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell data plane is a terminal session; Azure RBAC does not control terminal operations; not_applicable"
"DP-7","Certificate Management in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell does not manage certificates; users can interact with Key Vault from a shell session; not_applicable at service level"
"IM-7","Conditional Access for Data Plane","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Conditional Access governs the Azure portal sign-in that launches Cloud Shell; Cloud Shell data plane session not separately CA-evaluated; not_applicable"
"PA-8","Customer Lockbox","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell is not in the Customer Lockbox supported service list; not_applicable"
"PV-3","Custom Containers Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell uses Microsoft-managed container images; not_applicable"
"PV-3","Custom VM Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell ephemeral compute uses Microsoft-managed images; not_applicable"
"DP-5","Data at Rest Encryption Using CMK","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; CMK applies to the customer's linked Azure Storage account (where Cloud Shell persists $HOME); configure CMK on storage, not on Cloud Shell resource; not_applicable at Cloud Shell service level"
"DP-4","Data at Rest Encryption Using Platform Keys","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Cloud Shell stores session data in customer-owned Azure Storage account; data encryption is controlled by the storage account not by Cloud Shell; not_applicable at Cloud Shell service level"
"DP-3","Data in Transit Encryption","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Cloud Shell enforces HTTPS/TLS for all browser-to-session traffic; platform-enforced; not customer-configurable"
