domain,feature_name,story_id,story_title,resource,is_combined,description,acceptance_criteria,tags,policy_status
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: Virtual Network,Virtual Network,True,"As a cloud engineer, I want to assess Virtual Network segmentation controls — subnet NSG associations, address space isolation, AVNM admin rules, and hub-spoke peering configuration — so that NS-1 baseline gaps are identified and documented for remediation planning. Key Azure Policy built-ins applicable: ""Subnets should be private"", ""Flow logs should be configured for every network security group"".","Virtual Network NS-1 configuration assessed against MCSB baseline and deviations from network segmentation standards identified.
Azure Policy compliance evaluated for: ""Subnets should be private"", ""Flow logs should be configured for every network security group"".
Gap findings documented with remediation scope and affected Virtual Network instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: Virtual Network NAT,Virtual Network NAT,True,"As a cloud engineer, I want to assess Virtual Network NAT outbound configuration — SNAT subnet coverage completeness, public IP prefix management, and port exhaustion alerting — so that segmentation gaps from subnets relying on deprecated default outbound internet access are surfaced before Azure retires default outbound. Key Azure Policy built-ins applicable: ⚠️ ""Network interfaces should not have public IPs"" (adjacent control — no confirmed NAT Gateway-specific built-in as of MCSB v2 preview).","Virtual Network NAT NS-1 configuration assessed against MCSB baseline and subnets without explicit outbound path identified.
Azure Policy compliance evaluated for applicable public IP and subnet controls across NAT-associated resources.
Gap findings documented with remediation scope and affected subnet and NAT Gateway instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: Virtual WAN,Virtual WAN,True,"As a cloud engineer, I want to assess Virtual WAN hub segmentation — secured hub deployment status, route intent policy coverage, and branch-to-branch isolation configuration — so that spoke-to-spoke lateral traffic paths that bypass hub firewall inspection are identified against NS-1 baseline. Key Azure Policy built-ins applicable: ""Virtual Hubs should be protected with Azure Firewall"".","Virtual WAN NS-1 configuration assessed against MCSB baseline and hubs without Azure Firewall secured-hub configuration identified.
Azure Policy compliance evaluated for: ""Virtual Hubs should be protected with Azure Firewall"".
Gap findings documented with remediation scope and affected Virtual WAN hub instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: Load Balancer,Load Balancer,True,"As a cloud engineer, I want to assess Load Balancer network configuration — internal vs external frontend assignment, Standard SKU compliance, and backend pool subnet NSG restrictions — so that NS-1 gaps where internal workloads are exposed via external or Basic SKU load balancer configurations are identified. Key Azure Policy built-ins applicable: ⚠️ ""Load balancers should have diagnostic logs enabled"" (logging adjacent — no confirmed NS-1-specific Load Balancer built-in as of MCSB v2 preview).","Load Balancer NS-1 configuration assessed against MCSB baseline and externally-fronted internal workloads or Basic SKU instances identified.
Azure Policy compliance evaluated for applicable SKU and diagnostic controls across Load Balancer resources.
Gap findings documented with remediation scope and affected Load Balancer frontend configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: Traffic Manager,Traffic Manager,True,"As a cloud engineer, I want to assess Traffic Manager endpoint configuration — HTTPS-only protocol enforcement, geographic routing isolation, and health probe settings — so that NS-1 gaps where unencrypted endpoints or cross-region data residency deviations are present are documented. Key Azure Policy built-ins applicable: ⚠️ ""Traffic Manager profiles should have HTTPS protocol configured"" (training data — verify exact display name against current MCSB v2 preview policy list).","Traffic Manager NS-1 configuration assessed against MCSB baseline and HTTP-only endpoints or misconfigured geographic routing identified.
Azure Policy compliance evaluated for HTTPS protocol enforcement controls applicable to Traffic Manager profiles.
Gap findings documented with remediation scope and affected Traffic Manager profile and endpoint configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: Peering Service,Peering Service,True,"As a cloud engineer, I want to assess Azure Peering Service route configuration — prefix filters, BGP community tagging, and unauthorized route change alerting — so that NS-1 gaps in peering route security are identified before unauthorized advertisements affect Azure-bound traffic paths. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure Policy built-ins for Azure Peering Service in MCSB v2 preview — assessment relies on manual BGP prefix and route filter review.","Peering Service NS-1 configuration assessed against MCSB baseline and missing prefix filters or unapproved route advertisements identified.
Azure Policy coverage for Peering Service controls evaluated; gaps in policy automation noted where built-ins are absent.
Gap findings documented with remediation scope and affected Peering Service and prefix configuration instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-1,[SEC-1] Establish Network Segmentation Boundaries: NAT Gateway,NAT Gateway,True,"As a cloud engineer, I want to assess NAT Gateway subnet association completeness and operational configuration — public IP prefix rotation policy, SNAT port exhaustion alerts, and idle timeout settings — so that NS-1 segmentation gaps from uncovered subnets and SNAT exhaustion risks are identified and documented. Key Azure Policy built-ins applicable: ⚠️ No confirmed NAT Gateway-specific built-in as of MCSB v2 preview — assessment relies on subnet-level policy and manual NAT Gateway association audit.","NAT Gateway NS-1 configuration assessed against MCSB baseline and subnets lacking explicit NAT Gateway association identified.
Azure Policy coverage for NAT Gateway controls evaluated; gaps in automated subnet outbound path compliance noted.
Gap findings documented with remediation scope and affected NAT Gateway and subnet association instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: App Service,App Service,True,"As a cloud engineer, I want to assess App Service network controls — VNet integration, private endpoint, inbound access restrictions, HTTPS-only enforcement, TLS minimum version, and FTP exposure — so that NS-2 gaps where app workloads are reachable over public networks or unencrypted channels are identified across all App Service deployments. Key Azure Policy built-ins applicable: ""App Service apps should only be accessible over HTTPS"", ""App Service apps should use the latest TLS version"".","App Service NS-2 configuration assessed against MCSB baseline and apps without private endpoint, VNet integration, or HTTPS-only enforcement identified.
Azure Policy compliance evaluated for: ""App Service apps should only be accessible over HTTPS"", ""App Service apps should use the latest TLS version"".
Gap findings documented with remediation scope and affected App Service plan and site instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Cache for Redis,Cache for Redis,True,"As a cloud engineer, I want to assess Cache for Redis network isolation — non-SSL port 6379 status, TLS minimum version, public network access, and private endpoint or VNet injection configuration — so that NS-2 gaps exposing Redis data over unencrypted or unrestricted public channels are identified. Key Azure Policy built-ins applicable: ""Azure Cache for Redis should disable public network access"", ""Azure Cache for Redis should use private link"".","Cache for Redis NS-2 configuration assessed against MCSB baseline and instances with public access enabled or non-SSL port active identified.
Azure Policy compliance evaluated for: ""Azure Cache for Redis should disable public network access"", ""Azure Cache for Redis should use private link"".
Gap findings documented with remediation scope and affected Redis instance and tier configurations noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Cognitive Search,Cognitive Search,True,"As a cloud engineer, I want to assess Azure Cognitive Search network posture — private endpoint, public network access, IP firewall rules, and API key vs managed identity authentication — so that NS-2 gaps where search service data is accessible over public endpoints or via unauthenticated connections are documented. Key Azure Policy built-ins applicable: ""Azure Cognitive Search services should disable public network access"", ""Azure Cognitive Search service should use private link"".","Cognitive Search NS-2 configuration assessed against MCSB baseline and services with public network access or API key authentication identified.
Azure Policy compliance evaluated for: ""Azure Cognitive Search services should disable public network access"", ""Azure Cognitive Search service should use private link"".
Gap findings documented with remediation scope and affected Search service instances noted.",Security,none
