asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup is a vault-based PaaS service; management plane AAD access is microsoft_managed; no separate data plane auth concept; not_applicable at Azure Backup service level
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; no compute workloads in Azure Backup vault; Adaptive Application Controls applies to VMs not PaaS vaults; not_applicable
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports Key Vault for CMK encryption key management; check vault.properties.encryption.keyVaultProperties.keyUri is set
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup vault is PaaS; no compute or OS layer; anti-malware not applicable
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no compute layer to monitor; not_applicable
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VMs or DSC concept; not_applicable
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no OS patching concept; not_applicable
BR-1,Azure Backup,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Backup IS the backup product; vault enforces backup policies, retention, and recovery points; platform-enforced; row 1 of 2 duplicate entries in source xlsx"
BR-1,Azure Backup,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Backup vault backup capability confirmed; row 2 of 2 duplicate entries in source xlsx; preserved as-is from source
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM guest agents; not_applicable
AM-2,Azure Policy Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Policy governance applies to Recovery Services Vault via tags and resource properties; platform-enforced
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in MCSB v3 baseline; Azure Backup management plane uses ARM RBAC (Backup Operator/Contributor/Reader built-in roles); baseline marks data plane RBAC as not supported; not_applicable
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports certificate-based key management via KV; check encryption keyVaultProperties.keyUri for active KV reference
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup is a PaaS vault; backup/restore API does not have a separate Conditional Access evaluation point; not_applicable
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup not in Customer Lockbox supported service list; not_applicable
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no container workloads; not_applicable
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM images concept; not_applicable
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Recovery Services Vault supports CMK via customer-managed key in Key Vault; check properties.encryption.infrastructureEncryptionState and keyVaultProperties.keyUri
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Backup vault encrypts all backup data at rest using Microsoft-managed keys by default; platform-enforced
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Backup enforces TLS 1.2 for all data transfer between backup agents and vault; platform-enforced
