asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Customer Lockbox portal enforces AAD authentication for approving and denying Microsoft support access requests; always enabled; platform-enforced
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Customer Lockbox is a portal-based approval workflow; no compute workloads; not_applicable
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Customer Lockbox approval workflow does not use or integrate Key Vault; no credential management concept in Lockbox; not_applicable
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; portal-based approval service; no compute or OS layer; not_applicable
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; portal-only service; no compute to monitor; not_applicable
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Customer Lockbox is a portal service; no VM or DSC concept; not_applicable
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; portal service; no OS patching concept; not_applicable
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Customer Lockbox is a subscription-level portal service; no data store to back up; not_applicable
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; portal service; no VM guest agent concept; not_applicable
AM-2,Azure Policy Support,False,Not Applicable,now_applicable_native,now_applicable_native,subscription.policy.assignments[name='customer-lockbox'],,,now_applicable_native: MCSB v3 baseline recorded False but Azure Policy built-in definition 'Customer Lockbox should be enabled for your subscription' (Policy ID: ca6d0de3-aca0-4a46-9f73-69a31e1fa3e6) now exists for auditing Lockbox enablement; script check deferred to later phase
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Customer Lockbox approval requires Global Administrator or Account Administrator role; no granular RBAC data plane for Lockbox approval workflow; not_applicable
DP-7,Certificate Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Customer Lockbox is an approval workflow; no certificate or key management concept; not_applicable
