asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Site Recovery enforces AAD authentication for all vault management and replication API calls; always enabled; not customer-configurable
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; no compute workloads in SR vault service; Adaptive Application Controls applies to VMs not PaaS vaults; not_applicable
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in MCSB v3 baseline; Site Recovery uses Run As account service principal credentials stored in Automation Account; KV integration for SR credentials not supported at baseline time; not_applicable
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault service; no compute or OS layer; anti-malware not applicable
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no compute layer to monitor; not_applicable
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM DSC concept at SR vault level; not_applicable
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no OS patching at vault level; not_applicable
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=Not Applicable; Azure Site Recovery provides DR replication and failover, not point-in-time backup; ASR and Azure Backup serve different RPO/RTO purposes; not_applicable at SR service level"
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM guest agents; not_applicable
AM-2,Azure Policy Support,True,False,implemented,implemented,vault.tags,,,LIVE-DIRECT: tags proxy for Azure Policy governance on Recovery Services Vault; vault.tags non-empty and compliant → PASS
PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.RecoveryServices/vaults/*/read (RBAC assignment),,,"LIVE-DIRECT: Azure Site Recovery has built-in RBAC roles (Site Recovery Operator, Contributor, Reader); check RBAC role assignments on vault for SR-specific roles"
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Site Recovery supports certificate management via KV for replication channel security; check encryption keyVaultProperties for active KV reference
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; SR vault API access uses AAD tokens; no separate Conditional Access evaluation point for SR data plane; not_applicable
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Site Recovery not in Customer Lockbox supported service list; not_applicable
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no container workloads; not_applicable
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM image management; not_applicable
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Site Recovery vault supports CMK for encrypting replication data; check vault.properties.encryption.keyVaultProperties.keyUri is set
