asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (NIC/subnet of associated resource),publicip/ns_publicip,check_ns1_nsg,NSG attaches to NIC/subnet of the resource associated with this PIP — not readable per-PIP via ARM,publicip,High,Narrow,3
NS-1,Standard SKU (Secure-by-Default),True,False,implemented,implemented,sku.name,publicip/ns_publicip,check_ns1_sku,Standard SKU → PASS (closed-by-default; zone-redundant); Basic → FAIL (deprecated Sep 2025; open-by-default),publicip,High,Wide,6
NS-1,Virtual Network Integration — IP Attachment Status,True,False,implemented,implemented,ipConfiguration,publicip/ns_publicip,check_ns1_vnet,ip_configuration present → IP attached to VNet resource → PASS; None → orphaned IP (security risk) → FAIL,publicip,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/ns_publicip,check_ns2_private_link,PIP IS a public address; no private endpoint concept applies to the PIP resource,publicip,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/ns_publicip,check_ns2_disable_public,Service IS public exposure by definition; no toggle to disable; manage via removing orphaned PIPs,publicip,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp1_data_classification,PIP is a network addressing object; stores no customer data; Purview/AIP not applicable,publicip,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp2_dlp,No DLP product for PIP; no data storage,publicip,Medium,Wide,4
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp3_tls_transit,Layer 3 addressing resource; TLS enforced by application using the IP — not by PIP itself,publicip,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp4_platform_keys,PIP stores no customer data at rest; ARM metadata encrypted by platform,publicip,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp5_cmk,CMK not supported; no customer data at rest on PIP,publicip,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp6_key_mgmt,No keys/secrets/certificates associated with PIP; KV integration not applicable,publicip,Medium,Wide,4
