asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns1_nsg,AFM/Firewall Policy is management-plane; NSG applies to subnets in protected VNets
NS-1,Virtual Network Integration,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns1_vnet,Policy is config resource; VNet integration applies to Azure Firewall instances consuming this policy
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns2_private_link,ARM management-plane; no data-plane endpoint; Private Link not applicable
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns2_disable_public,ARM management-plane only; no public/private network toggle for Firewall Policy
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp1_data_classification,Firewall Policy stores rule config only; no customer PII/business data
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp2_dlp,No DLP for policy resource; rule config only
DP-3,Data in Transit Encryption,True,True,implemented,implemented,platform (HTTPS/TLS 1.2+ enforced by ARM),firewallmanager/dp_firewallmanager,check_dp3_tls_transit,feature_supported=True enabled_by_default=True → PASS static (microsoft_managed); ARM API uses HTTPS/TLS; platform-enforced
DP-4,Data at Rest Encryption Using Platform Keys,True,Not Applicable,implemented,implemented,platform (microsoft-managed keys),firewallmanager/dp_firewallmanager,check_dp4_platform_keys,Policy config encrypted at rest by platform-managed keys by default → PASS static (microsoft_managed)
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp5_cmk,CMK not supported on Firewall Policy resource
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp6_key_mgmt,No encryption keys on policy resource; KV integration only via DP-7 TLS cert
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,transport_security.certificate_authority.key_vault_secret_id,firewallmanager/dp_firewallmanager,check_dp7_cert_kv,LIVE: Premium + KV cert ref set → PASS; Premium no cert → FAIL; Standard/Basic → UNKNOWN (TLS inspection is Premium-only)
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM-only),firewallmanager/im_firewallmanager,check_im1_local_auth_methods,ARM-only resource; no local auth surface
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no data plane),firewallmanager/im_firewallmanager,check_im1_aad_auth_required,Feature=False in MCSB v3; no data plane; ARM enforces Entra ID for all policy mgmt ops
IM-3,Managed Identities,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/im_firewallmanager,check_im3_managed_identities,Policy supports MI for KV cert access (DP-7 prereq) but not an independent MCSB control
IM-3,Service Principals,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,firewallmanager/im_firewallmanager,check_im3_service_principals,No data-plane SP auth; SP used at subscription/RG level only
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,firewallmanager/im_firewallmanager,check_im7_conditional_access,No data plane; CA not applicable
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/im_firewallmanager,check_im8_keyvault_secrets,No credentials/secrets on policy; KV covered by DP-7
LT-1,Microsoft Defender for Service — Azure Firewall Manager,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/lt_firewallmanager,check_lt1_defender,No Defender for AFM product; Feature=N/A in MCSB v3
LT-4,Azure Resource Logs,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/lt_firewallmanager,check_lt4_resource_logs,Feature=False; resource logs on Azure Firewall instances not on policy resource; configure DiagSettings on firewalls
BR-1,Azure Backup,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/br_firewallmanager,check_br1_azure_backup,Azure Backup not supported; policy recreatable from IaC; Feature=False in MCSB v3
BR-1,Service Native Backup Capability,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/br_firewallmanager,check_br1_native_backup,No native backup; ARM template export + IaC source control as compensating control; Feature=False in MCSB v3
AM-2,Azure Policy Support,True,False,implemented,implemented,tags,firewallmanager/am_firewallmanager,check_am2_policy,Resource tags present → PASS proxy; no tags → FAIL
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/am_firewallmanager,check_am5_defender_aac,PaaS management-plane; AAC targets VMs/Arc only
