asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Universal Print enforces Entra ID authentication for all print operations; AAD required for printer registration and print job submission | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/universal-print-security-baseline,universalprint,High,Narrow,3
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Universal Print is a SaaS service; not_applicable,universalprint,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Universal Print uses AAD authentication; no service credentials requiring Key Vault storage; not_applicable,universalprint,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Universal Print is a SaaS service; anti-malware not applicable at service resource level; not_applicable,universalprint,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; SaaS Universal Print not applicable,universalprint,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; SaaS Universal Print not applicable,universalprint,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management targets customer VMs; SaaS Universal Print not applicable,universalprint,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Universal Print is a SaaS service with no customer data requiring Azure Backup; not_applicable,universalprint,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration targets VMs; SaaS Universal Print not applicable,universalprint,Low,Wide,2
AM-2,Azure Policy Support,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Universal Print does not support Azure Policy assignment or resource tagging in standard deployment; not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/universal-print-security-baseline,universalprint,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.Print/printers/*/read (RBAC assignment),,,LIVE-DIRECT: Universal Print uses Azure RBAC for printer management; Printer Administrator built-in role; check RBAC assignments on printer resources | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/universal-print-security-baseline,universalprint,High,Wide,6
