asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; ADDDS IS the Azure AD Domain Services identity provider — it is not a consumer of AAD auth; it provides Kerberos/LDAP for domain members; not_applicable at AAD DS service level | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-active-directory-domain-services-security-baseline,addds,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls targets VMs; ADDDS is a PaaS managed domain service; not_applicable,addds,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; ADDDS does not expose service credentials for Key Vault storage; fully Microsoft-managed; not_applicable,addds,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; ADDDS is a PaaS managed service; underlying compute anti-malware is Microsoft-managed; not_applicable at ADDDS resource level,addds,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; anti-malware health monitoring applies to customer-managed VMs; ADDDS PaaS service not applicable,addds,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; ADDDS managed nodes not configurable via customer Automation accounts; not_applicable,addds,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management targets customer-owned VMs; ADDDS managed service patching is Microsoft-owned; not_applicable,addds,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; ADDDS does not use Azure Backup service; Microsoft-managed native backup covers domain state; not_applicable,addds,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration Agent targets customer VMs; ADDDS managed nodes not accessible for guest config; not_applicable,addds,Low,Wide,2
AM-2,Azure Policy Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Policy governance applies via tags and resource properties; customer cannot configure directly on the ADDDS PaaS control | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-active-directory-domain-services-security-baseline,addds,Medium,Narrow,2
