Work Item Type,Title,Parent Title,Tags,Story Points,Description
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: Virtual Network","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for Virtual Network: address space isolation; subnet design; NSG deny-all defaults; peering security; AVNM admin rules enforcement; hub-spoke topology compliance.
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: Virtual Network NAT","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for Virtual Network NAT: outbound-only connectivity model; no inbound exposure via NAT; public IP prefix management; SNAT exhaustion monitoring.
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: Virtual WAN","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for Virtual WAN: hub segmentation between branches; virtual hub routing policies; secured hub via Firewall Manager integration; spoke isolation.
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: Load Balancer","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for Load Balancer: internal LB for backend pools (no public IP); backend pool subnet isolation; Standard SKU only; health probe security.
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: Traffic Manager","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for Traffic Manager: endpoint health monitoring; HTTPS-only endpoint enforcement; no sensitive data in DNS responses; geographic routing isolation.
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: Peering Service","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for Azure Peering Service: route filtering; BGP community tagging; peering location security; monitoring for unauthorized route changes.
User Story,"[SEC-NS-1] Establish Network Segmentation Boundaries: NAT Gateway","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-1 controls for NAT Gateway: association with correct subnets; public IP prefix rotation policy; idle timeout tuning; SNAT port exhaustion alert.
User Story,"[SEC-NS-2] Secure Cloud Native Services: App Service","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for App Service: VNet integration; private endpoint; inbound access restrictions; HTTPS-only; TLS 1.2 minimum; FTP disabled.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Cache for Redis","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Cache for Redis: private endpoint or VNet injection; non-SSL port disabled; TLS 1.2 minimum; no public network access; managed identity for client auth.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Cognitive Search","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Cognitive Search: private endpoint; disable public network access; IP firewall rules; managed identity for data source auth.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Communication Services","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Communication Services: managed identity for service auth; private connectivity where available; data residency compliance; API access restriction.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Communications Gateway","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Communications Gateway: network peering security; SBC connectivity hardening; TLS for SIP signaling; access restrictions to admin plane.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Container Apps","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Container Apps: VNet integration; internal-only ingress for internal apps; private DNS zone; environment-level network isolation.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Data Factory","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Data Factory: managed private endpoints for all linked services; private endpoint for ADF itself; self-hosted IR in VNet; disable public network access.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Database Migration Service","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Database Migration Service: VNet-integrated deployment; private endpoint; outbound-only connectivity to source/target; disable public access.
