asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (NIC/subnet of associated resource),publicip/ns_publicip,check_ns1_nsg,"NSG attaches to NIC/subnet of the resource associated with this PIP — not readable per-PIP via ARM | Public IP is a network addressing resource, not a networked compute resource. NSG protection applies to the subnet/NIC associated with the resource using the IP. No direct NSG attachment to Public IP resource itself. Source: https://learn.microsoft.com/en-us/azure/virtual-network/public-ip-addresses",publicip,High,Narrow,3
NS-1,Standard SKU (Secure-by-Default),True,False,implemented,implemented,sku.name,publicip/ns_publicip,check_ns1_sku,Standard SKU → PASS (closed-by-default; zone-redundant); Basic → FAIL (deprecated Sep 2025; open-by-default) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-public-ip-security-baseline,publicip,High,Wide,6
NS-1,Virtual Network Integration — IP Attachment Status,True,False,implemented,implemented,ipConfiguration,publicip/ns_publicip,check_ns1_vnet,ip_configuration present → IP attached to VNet resource → PASS; None → orphaned IP (security risk) → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-public-ip-security-baseline,publicip,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/ns_publicip,check_ns2_private_link,PIP IS a public address; no private endpoint concept applies to the PIP resource | Public IP is by definition a public-facing addressing resource. Private Link concept is architecturally incompatible with Public IP resource type. Source: https://learn.microsoft.com/en-us/azure/virtual-network/public-ip-addresses,publicip,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/ns_publicip,check_ns2_disable_public,"Service IS public exposure by definition; no toggle to disable; manage via removing orphaned PIPs | Public IP resource exists specifically to provide public network access. Disabling public network access is not applicable — it would eliminate the purpose. Security is achieved via NSGs on the associated resource, not on the IP itself. Source: https://learn.microsoft.com/en-us/azure/virtual-network/public-ip-addresses",publicip,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp1_data_classification,"PIP is a network addressing object; stores no customer data; Purview/AIP not applicable | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",publicip,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp2_dlp,"No DLP product for PIP; no data storage | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",publicip,Medium,Wide,4
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp3_tls_transit,"Layer 3 addressing resource; TLS enforced by application using the IP — not by PIP itself | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",publicip,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp4_platform_keys,"PIP stores no customer data at rest; ARM metadata encrypted by platform | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",publicip,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/dp_publicip,check_dp5_cmk,"CMK not supported; no customer data at rest on PIP | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",publicip,Medium,Wide,4
