asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup is a vault-based PaaS service; management plane AAD access is microsoft_managed; no separate data plane auth concept; not_applicable at Azure Backup service level,backup,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; no compute workloads in Azure Backup vault; Adaptive Application Controls applies to VMs not PaaS vaults; not_applicable,backup,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports Key Vault for CMK encryption key management; check vault.properties.encryption.keyVaultProperties.keyUri is set,backup,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup vault is PaaS; no compute or OS layer; anti-malware not applicable,backup,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no compute layer to monitor; not_applicable,backup,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VMs or DSC concept; not_applicable,backup,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no OS patching concept; not_applicable,backup,Low,Wide,2
BR-1,Azure Backup,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Backup IS the backup product; vault enforces backup policies, retention, and recovery points; platform-enforced; row 1 of 2 duplicate entries in source xlsx",backup,Medium,Narrow,2
BR-1,Azure Backup,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Backup vault backup capability confirmed; row 2 of 2 duplicate entries in source xlsx; preserved as-is from source,backup,Medium,Narrow,2
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM guest agents; not_applicable,backup,Low,Wide,2
AM-2,Azure Policy Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Policy governance applies to Recovery Services Vault via tags and resource properties; platform-enforced,backup,Medium,Narrow,2
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in MCSB v3 baseline; Azure Backup management plane uses ARM RBAC (Backup Operator/Contributor/Reader built-in roles); baseline marks data plane RBAC as not supported; not_applicable,backup,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports certificate-based key management via KV; check encryption keyVaultProperties.keyUri for active KV reference,backup,Medium,Wide,4
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup is a PaaS vault; backup/restore API does not have a separate Conditional Access evaluation point; not_applicable,backup,High,Wide,6
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup not in Customer Lockbox supported service list; not_applicable,backup,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no container workloads; not_applicable,backup,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no VM images concept; not_applicable,backup,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Recovery Services Vault supports CMK via customer-managed key in Key Vault; check properties.encryption.infrastructureEncryptionState and keyVaultProperties.keyUri,backup,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Backup vault encrypts all backup data at rest using Microsoft-managed keys by default; platform-enforced,backup,Medium,Narrow,2
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Backup enforces TLS 1.2 for all data transfer between backup agents and vault; platform-enforced,backup,Medium,Narrow,2
DP-2,Data Leakage/Loss Prevention,True,False,implemented,implemented,vault.properties.securitySettings.immutabilitySettings.state,,,LIVE-DIRECT: Azure Backup supports immutable vaults (WORM-protected backup data); check properties.securitySettings.immutabilitySettings.state — Locked or Unlocked = configured; Disabled = not configured,backup,Medium,Wide,4
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; no Microsoft Defender plan for Azure Backup vault as a service resource; Defender for Storage covers underlying storage but not the Backup vault itself; not_applicable,backup,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,vault.properties.publicNetworkAccess,,,LIVE-DIRECT: Recovery Services Vault supports disabling public network access; check properties.publicNetworkAccess == Disabled,backup,High,Wide,6
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no compute or endpoint layer; not_applicable,backup,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports CMK key rotation via Key Vault; check keyVaultProperties.keyUri for active KV reference; CMK enables key revocation for data access control,backup,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup vault is PaaS; no local admin account concept; not_applicable,backup,High,Wide,6
