service,asb_control_id,feature_name,verdict_2025,mdfc_recommendation_id,mdfc_recommendation_display_name,mdfc_recommendation_url
addds,AM-2,Azure Policy Support,implemented,,,
addds,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
addds,DP-3,Data in Transit Encryption,implemented,,,
addds,IM-1,Local Authentication Methods for Data Plane Access,implemented,,,
addds,BR-1,Service Native Backup Capability,implemented,,,
addds,NS-1,Network Security Group Support,implemented,,,
addds,LT-4,Azure Resource Logs,implemented,,,
addds,NS-1,Virtual Network Integration,implemented,,,
apimanagement,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,api-endpoints-in-azure-api-management-should-be-authenticated,API endpoints in Azure API Management should be authenticated,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-api
apimanagement,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,implemented,api-management-secret-named-values-should-be-stored-in-azure-key-vault,API Management secret named values should be stored in Azure Key Vault,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-api
apimanagement,AM-2,Azure Policy Support,implemented,,,
apimanagement,PA-7,Azure RBAC for Data Plane,implemented,,,
apimanagement,DP-7,Certificate Management in Azure Key Vault,implemented,,,
apimanagement,PA-8,Customer Lockbox,implemented,,,
apimanagement,DP-3,Data in Transit Encryption,implemented,,,
apimanagement,LT-1,Microsoft Defender for Service / Product Offering,now_applicable_native,azure-api-management-apis-onboarded-to-defender-for-apis,Azure API Management APIs should be onboarded to Defender for APIs,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-api
apimanagement,NS-2,Disable Public Network Access,implemented,api-management-should-disable-public-network-access,API Management should disable public network access to the service configuration endpoints,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-api
apimanagement,DP-6,Key Management in Azure Key Vault,implemented,,,
apimanagement,PA-1,Local Admin Accounts,implemented,,,
