asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/ns_frontdoor,check_ns1_nsg,"AFD is a global anycast PaaS CDN; no VNet NIC to attach NSG; NSG applies to backend origin subnets not AFD resource | Exa 2026-06-19: Azure Front Door is a global anycast PaaS CDN/WAF service. It has no VNet NIC and cannot be placed in a subnet. NSGs apply to backend origin subnets or spoke VNets, not to the AFD resource itself. Feature=False in MCSB v3 baseline — no change in 2026. Source: https://learn.microsoft.com/en-us/azure/frontdoor/front-door-overview",frontdoor,High,Wide,6
NS-1,Virtual Network Integration,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/ns_frontdoor,check_ns1_vnet,"AFD Classic has no VNet integration; AFD Premium supports Private Link to origins but AFD itself does not join a VNet | Exa 2026-06-19: AFD Classic: no VNet integration. AFD Standard/Premium: supports Private Link origins (backends accessed via PE), but AFD itself does not join a VNet. The AFD resource remains a global PaaS endpoint. NS-1 VNet Integration = still_not_applicable for the AFD resource. Source: https://learn.microsoft.com/en-us/azure/frontdoor/private-link",frontdoor,High,Wide,6
NS-2,Azure Private Link,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/ns_frontdoor,check_ns2_private_link,"AFD Classic has no private endpoint; AFD Premium supports Private Link to backend origins (not AFD resource itself) — still_not_applicable as NS control on AFD resource | Exa 2026-06-19: AFD Premium supports Private Link TO backend origins (AFD initiates PE connection to origin), but the AFD resource itself does not expose a private endpoint. NS-2 asks whether AFD has a PE — it does not. still_not_applicable. Note: AFD Standard/Premium Private Link backend origins is an IM-3/NS-1 origin concern, not an NS-2 AFD resource concern. Source: https://learn.microsoft.com/en-us/azure/frontdoor/private-link",frontdoor,High,Wide,6
NS-2,Native IP Filtering via WAF Policy,True,True,implemented,implemented,frontend_endpoints[*].web_application_firewall_policy_link,frontdoor/ns_frontdoor,check_ns2_waf_policy,WAF policy link on frontend endpoints; any ep.web_application_firewall_policy_link present → PASS; all endpoints without WAF link → FAIL,frontdoor,High,Narrow,3
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/dp_frontdoor,check_dp1_data_classification,AFD is an ingress/CDN proxy; no customer data stored in AFD resource; Purview not applicable | Exa 2026-06-19: AFD is an ingress/CDN/WAF proxy — it proxies HTTP/S traffic and caches responses. No customer PII or business data is stored in the AFD resource itself. Cached content is transient and not a data classification target. Purview not applicable. Source: https://learn.microsoft.com/en-us/azure/frontdoor/front-door-overview,frontdoor,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/dp_frontdoor,check_dp2_dlp,AFD proxies traffic; no persistent customer data store; DLP not applicable to AFD resource | Exa 2026-06-19: AFD proxies traffic between clients and origins. No persistent customer data store in AFD. DLP not applicable to AFD resource. Source: https://learn.microsoft.com/en-us/azure/frontdoor/front-door-overview,frontdoor,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A (platform-enforced),frontdoor/dp_frontdoor,check_dp3_tls_transit,TLS/HTTPS enforced end-to-end by AFD platform; frontend-to-AFD and AFD-to-backend HTTPS enforced; platform-managed; PASS static,frontdoor,Medium,Narrow,2
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A (platform-enforced),frontdoor/dp_frontdoor,check_dp4_platform_keys,AFD configuration metadata encrypted at rest with Microsoft-managed keys; platform-enforced; PASS static,frontdoor,Medium,Narrow,2
DP-5,Data at Rest Encryption Using CMK,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/dp_frontdoor,check_dp5_cmk,"CMK not supported for AFD resource; AFD stores routing/caching config only; no CMK applicable | Exa 2026-06-19: CMK not supported for AFD resource. AFD stores routing configuration, caching rules, and WAF policies — operational metadata only. No CMK encryption capability exposed. Source: https://learn.microsoft.com/en-us/azure/frontdoor/front-door-overview",frontdoor,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,frontdoor/dp_frontdoor,check_dp6_key_mgmt,"AFD holds no encryption keys; KV used for TLS certificates (see DP-7) not key management | Exa 2026-06-19: AFD uses KV for TLS certificate storage and retrieval (DP-7/IM-8), not for encryption key management. KV integration for encryption keys is not applicable to AFD. DP-6 still_not_applicable. Source: https://learn.microsoft.com/en-us/azure/frontdoor/front-door-overview",frontdoor,Medium,Wide,4
