asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_nsg,VPN GW subnets are in customer VNet; VNet subnet traffic respects NSG rules by default; microsoft_managed; Note: NSG on GatewaySubnet itself breaks VPN — NSGs protect spoke subnets | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/vpn-gateway-security-baseline,vpngateway,High,Narrow,3
NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_vnet,VPN GW always deployed into customer GatewaySubnet within a VNet; VNet integration inherent; microsoft_managed | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/vpn-gateway-security-baseline,vpngateway,High,Narrow,3
NS-2,Azure Private Link,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/ns_vpngateway,check_ns2_private_link,VPN GW IS the private connectivity service; Private Endpoint not applicable on VPN GW itself; feature_supported=False | Exa 2026-06-19: VPN Gateway IS the private connectivity service — it provides IPsec tunnels between on-premises networks and Azure VNets. Private Endpoint is a mechanism to reach Azure PaaS services privately; it is not applicable to VPN GW itself. feature_supported=False in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways,vpngateway,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/ns_vpngateway,check_ns2_disable_public,VPN GW requires public IP for IKE negotiation; no public_network_access toggle; public IP inherent to function | Exa 2026-06-19: VPN GW requires a public IP address for IKE peer negotiation (S2S) and P2S client connections. The public IP is the VPN tunnel endpoint. No public_network_access toggle exists; disabling public access would disable VPN function entirely. Not Applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways,vpngateway,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp1_data_classification,VPN GW is a routing/tunneling service; no persistent customer PII/data store; Purview not applicable | Exa 2026-06-19: VPN GW is a routing/tunneling service. It does not store persistent customer PII or business data. Microsoft Purview data discovery and classification is not applicable to VPN GW resource. Tunnel payload data traverses the GW but is not stored. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways,vpngateway,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp2_dlp,"VPN GW routes encrypted tunnels; no persistent customer data store; DLP not applicable | Exa 2026-06-19: VPN GW routes encrypted IPsec tunnels; no persistent customer data store exists in the VPN GW resource. DLP solutions (Defender for Cloud, Purview) target services with persistent data (Storage, SQL, etc.). Not applicable to VPN GW. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways",vpngateway,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/dp_vpngateway,check_dp3_tls_transit,IPsec/IKEv2 encryption is core function of VPN GW; all tunnel traffic always encrypted; microsoft_managed | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/vpn-gateway-security-baseline,vpngateway,Medium,Narrow,2
DP-4,Data at Rest Encryption Using Platform Keys,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp4_platform_keys,"feature_supported=False in baseline; VPN GW has no persistent customer data at rest; PSK in resource metadata not customer data for DP-4 purposes | Exa 2026-06-19: feature_supported=False in MCSB v3 baseline. VPN GW is a routing/tunneling service with no persistent customer data store at rest. PSK (pre-shared key) is stored in VPN GW resource metadata, but this is not customer data in the DP-4 sense — there is no platform-key encryption toggle exposed to the customer for VPN GW configuration data. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways",vpngateway,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp5_cmk,"CMK not applicable; VPN GW stores no customer data requiring CMK encryption | Exa 2026-06-19: CMK encryption is not applicable to VPN GW. VPN GW stores no customer business data requiring CMK. CMK is relevant for services that store customer PII/data at rest (Azure SQL, Storage, Cosmos DB, etc.). Not Applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways",vpngateway,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp6_key_mgmt,"PSK stored in VPN GW resource; no KV key management integration; feature_supported=False | Exa 2026-06-19: PSK (pre-shared key) is stored directly in VPN GW resource — no Azure Key Vault key management integration. IKEv2/P2S certificates are uploaded directly to VPN GW, not managed via KV key management. feature_supported=False in MCSB v3 baseline. Best practice: store PSK in KV separately for recovery, but VPN GW itself has no native KV integration. Source: https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways",vpngateway,Medium,Wide,4
