asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Azure AD join for Azure Virtual Desktop: https://docs.microsoft.com/azure/architecture/example-scenario/wvd/azure-virtual-desktop-azure-active-directory-join,,,LIVE-DIRECT: Azure AD Authentication Required for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Microsoft Defender for Cloud - Adaptive Application Controls not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Service Credential and Secrets Support Integration and Storage in Azure Key Vault not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,High,Wide,6
ES-2,Anti-Malware Solution,True,False,implemented,implemented,Enable Microsoft Defender for Cloud: https://docs.microsoft.com/azure/virtual-desktop/security-guide#enable-microsoft-defender-for-cloud,,,LIVE-DIRECT: Anti-Malware Solution supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,True,False,implemented,implemented,Enable Microsoft Defender for Cloud: https://docs.microsoft.com/azure/virtual-desktop/security-guide#enable-microsoft-defender-for-cloud,,,LIVE-DIRECT: Anti-Malware Solution Health Monitoring supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Medium,Wide,4
PV-3,Azure Automation State Configuration,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure Automation State Configuration not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Low,Wide,2
PV-6,Azure Automation Update Management,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure Automation Update Management not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Low,Wide,2
BR-1,Azure Backup,True,False,implemented,implemented,How does Azure Virtual Desktop handle backups?: https://docs.microsoft.com/azure/virtual-desktop/faq#how-does-azure-virtual-desktop-handle-backups-,,,LIVE-DIRECT: Azure Backup supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure Policy Guest Configuration Agent not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,Azure security baseline for Azure Virtual Desktop: https://docs.microsoft.com/security/benchmark/azure/baselines/virtual-desktop-security-baseline,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-virtual-desktop-security-baseline,virtualdesktop,Medium,Wide,4
