service_name,control_domain,asb_control_id,asb_control_title,guidance,responsibility,feature_name,feature_description,feature_supported,feature_enabled_by_default,feature_reference,feature_notes,guidance_notes,applicability,newly_applicable,automation_class,applicability_original,reclassification_confidence,reclassification_rationale,verdict_2025,path_b_rationale,script_function
api-management,Identity Management,IM-1,Use centralized identity and authentication system,"Use Azure Active Directory (Azure AD) as the default authentication method for API Management where possible.

- Configure your Azure API Management Developer Portal to authenticate developer accounts by using Azure AD.
- Configure your Azure API Management instance to protect your APIs by using the OAuth 2.0 protocol with Azure AD.",Customer,Azure AD Authentication Required for Data Plane Access,Service supports using Azure AD authentication for data plane access.,True,False,Protect an API in Azure API Management using OAuth 2.0 authorization with Azure Active Directory: https://docs.microsoft.com/azure/api-management/api-management-howto-protect-backend-with-aad,,,customer,False,script_simple,customer,high,Compliance verification via Azure API Management portal settings property check.,applicable,,check_im1_aad_auth
api-management,Asset Management,AM-5,Use only approved applications in virtual machine,This feature is not applicable to secure this service.,Not Applicable,Microsoft Defender for Cloud - Adaptive Application Controls,Service can limit what customer applications run on the virtual machine using Adaptive Application Controls in Microsoft Defender for Cloud.,Not Applicable,Not Applicable,,,,customer,True,script_simple,not_applicable,high,Defender for Cloud application control policy compliance is readily checkable via Azure Policy.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_am5_defender_aac
api-management,Identity Management,IM-8,Restrict the exposure of credential and secrets,Set up integration of API Management with Azure Key Vault. Ensure that secrets for API Management (Named values) are stored an Azure Key Vault so they can be securely accessed and updated.,Customer,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Data plane supports native use of Azure Key Vault for credential and secrets store.,True,False,Use named values in Azure API Management policies with Key Vault Integration: https://docs.microsoft.com/azure/api-management/api-management-howto-properties,,,customer,False,script_medium,customer,high,Native Azure Key Vault integration enables automated secret management and compliance checks via Azure Policy or scripting.,applicable,,check_im8_keyvault_secrets
api-management,Endpoint security,ES-2,Use modern anti-malware software,This feature is not applicable to secure this service.,Not Applicable,Anti-Malware Solution,"Anti-malware feature such as Microsoft Defender Antivirus, Microsoft Defender for Endpoint can be deployed on the endpoint.",Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,Enforceable via Azure Policy and Microsoft Defender for Endpoint.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_es2_antimalware
api-management,Endpoint security,ES-3,Ensure anti-malware software and signatures are updated,This feature is not applicable to secure this service.,Not Applicable,Anti-Malware Solution Health Monitoring,"Anti-malware solution provides health status monitoring for platform, engine, and automatic signature updates.",Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Achievable via Microsoft Defender for Cloud's native monitoring and policy enforcement on compute services.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_es3_antimalware_health
api-management,Posture and Vulnerability Management,PV-3,Define and establish secure configurations for compute resources,This feature is not applicable to secure this service.,Not Applicable,Azure Automation State Configuration,Azure Automation State Configuration can be used to maintain the security configuration of the operating system.,Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Azure Automation State Configuration is a native Azure feature enabling declarative security configuration management for compute resources.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv3_automation_state
api-management,Posture and Vulnerability Management,PV-6,Rapidly and automatically remediate  vulnerabilities,This feature is not applicable to secure this service.,Not Applicable,Azure Automation Update Management,Service can use Azure Automation Update Management to deploy patches and updates automatically.,Not Applicable,Not Applicable,,,,not_applicable,False,script_simple,not_applicable,high,"Azure Update Management automatically applies security updates on VMs, remediating vulnerabilities.",still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv6_update_mgmt
api-management,Backup and recovery,BR-1,Ensure regular automated backups,This feature is not supported to secure this service.,Not Applicable,Azure Backup,The service can be backed up by the Azure Backup service.,False,Not Applicable,,,,customer,True,script_simple,not_applicable,high,"Native Azure App Service Backup feature enables fully automated, compliant backups via simple scripts without third-party tools.",now_applicable_native,APIM native backup/restore GA since v1; no ARM property for schedule state,check_br1_azure_backup
api-management,Posture and Vulnerability Management,PV-3,Define and establish secure configurations for compute resources,This feature is not applicable to secure this service.,Not Applicable,Azure Policy Guest Configuration Agent,Azure Policy guest configuration agent can be installed or deployed as an extension to compute resources.,Not Applicable,Not Applicable,,,,customer,True,script_medium,not_applicable,high,Azure Automation State Configuration is a native Azure feature enabling declarative security configuration management for compute resources.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_pv3_guest_config
api-management,Asset Management,AM-2,Use only approved services,"Use built-in Azure Policy to monitor and enforce secure configuration across API Management resources. Use Azure Policy aliases in the ""Microsoft.ApiManagement"" namespace to create custom Azure Policy definitions where required.",Customer,Azure Policy Support,Service configurations can be monitored and enforced via Azure Policy.,True,False,Azure Policy built-in policy definitions for Azure API Management: https://docs.microsoft.com/azure/api-management/policy-reference,,,customer,False,script_medium,customer,high,Azure Policy and Defender for Cloud natively enforce approved services with deny effects.,applicable,,check_am2_policy
api-management,Privileged Access,PA-7,Follow just enough administration (least privilege) principle,"Use Azure role-based access control (Azure RBAC) for controlling access to Azure API Management. Azure API Management relies on Azure role-based access control to enable fine-grained access management for API Management services and entities (for example, APIs and policies).",Customer,Azure RBAC for Data Plane,Azure Role-Based Access Control (Azure RBAC) can be used to managed access to service's data plane actions.,True,False,How to use Role-Based Access Control in Azure API Management: https://docs.microsoft.com/azure/api-management/api-management-role-based-access-control,,,customer,False,script_simple,customer,high,Native Azure RBAC for Data Box provides least privilege access control via Reader/Contributor roles.,applicable,,check_pa7_rbac_data_plane
api-management,Data Protection,DP-7,Use a secure certificate management process,"Set up integration of API Management with Azure Key Vault. Ensure that secrets for API Management (Named values) are stored an Azure Key Vault so they can be securely accessed and updated.

Use Azure Key Vault to create and control the certificate lifecycle, including creation, importing, rotation, revocation, storage, and purging of the certificate. Ensure the certificate generation follows defined standards without using any insecure properties, such as: insufficient key size, overly long validity period, insecure cryptography. Setup automatic rotation of the certificate in Azure Key Vault and the Azure service (if supported) based on a defined schedule or when there is a certificate expiration. If automatic rotation is not supported in the application, ensure they are still rotated using manual methods in Azure Key Vault and the application.",Customer,Certificate Management in Azure Key Vault,The service supports Azure Key Vault integration for any customer certificates.,True,False,Secure backend services using client certificate authentication in Azure API Management: https://docs.microsoft.com/azure/api-management/api-management-howto-mutual-certificates,,,customer,False,script_medium,customer,high,"API Management natively integrates with Azure Key Vault for certificate management and secret storage, enabling automated compliance checks and remediation",applicable,,check_dp7_cert_kv
api-management,Identity Management,IM-7,Restrict resource access based on  conditions,This feature is not supported to secure this service.,Not Applicable,Conditional Access for Data Plane,Data plane access can be controlled using Azure AD Conditional Access Policies.,False,Not Applicable,,,,not_applicable,False,script_medium,not_applicable,high,Script-medium automation needed for AKS RBAC configuration checks via cluster access and Azure AD conditional access verification.,still_not_applicable,PaaS service; control not applicable to managed gateway — no customer compute/OS/data store,check_im7_conditional_access
