asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Intelligent Recommendations enforces Entra ID authentication for API access; AAD token required for all data plane calls | Service retired ~2023 (Azure Intelligent Recommendations withdrawn from GA). No MCSB IM security baseline available for retired services. Source: https://learn.microsoft.com/en-us/azure/security/benchmark/azure/baselines/ | Q2-C WebSearch June 2026 confirmed retired status.,intelligentrecommendations,High,Narrow,3
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Intelligent Recommendations enforces Entra ID authentication for API access; AAD token required for all data plane calls | Service retired ~2023 (Azure Intelligent Recommendations withdrawn from GA). No MCSB IM security baseline available for retired services. Source: https://learn.microsoft.com/en-us/azure/security/benchmark/azure/baselines/ | Q2-C WebSearch June 2026 confirmed retired status.,intelligentrecommendations,High,Narrow,3
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Intelligent Recommendations is PaaS; not_applicable,intelligentrecommendations,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Intelligent Recommendations uses AAD token auth; no service credentials requiring Key Vault storage; not_applicable | Service retired ~2023 (Azure Intelligent Recommendations withdrawn from GA). No MCSB IM security baseline available for retired services. Source: https://learn.microsoft.com/en-us/azure/security/benchmark/azure/baselines/ | Q2-C WebSearch June 2026 confirmed retired status.,intelligentrecommendations,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Intelligent Recommendations is a PaaS service; underlying compute anti-malware is Microsoft-managed; not_applicable,intelligentrecommendations,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; PaaS service not applicable,intelligentrecommendations,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; PaaS Intelligent Recommendations service not applicable,intelligentrecommendations,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management targets customer VMs; PaaS service not applicable,intelligentrecommendations,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Intelligent Recommendations does not use Azure Backup; not_applicable | Service retired ~2023 (Azure Intelligent Recommendations withdrawn from GA). No MCSB IM security baseline available for retired services. Source: https://learn.microsoft.com/en-us/azure/security/benchmark/azure/baselines/ | Q2-C WebSearch June 2026 confirmed retired status.,intelligentrecommendations,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration targets VMs; PaaS service not applicable,intelligentrecommendations,Low,Wide,2
