asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns1_nsg,AFM/Firewall Policy is management-plane; NSG applies to subnets in protected VNets | Firewall Manager is a management plane policy service with no VNet or subnet presence. NSG protection not applicable to this resource type. Source: https://learn.microsoft.com/en-us/azure/firewall-manager/overview,firewallmanager,High,Wide,6
NS-1,Virtual Network Integration,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns1_vnet,Policy is config resource; VNet integration applies to Azure Firewall instances consuming this policy | Firewall Manager is a control-plane service managing Azure Firewall policies. No VNet integration exists for the Firewall Manager resource itself. Source: https://learn.microsoft.com/en-us/azure/firewall-manager/overview,firewallmanager,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns2_private_link,ARM management-plane; no data-plane endpoint; Private Link not applicable | Firewall Manager is an Azure management plane service accessed via ARM. No Private Link endpoint available for the Firewall Manager resource itself. Source: https://learn.microsoft.com/en-us/azure/firewall-manager/overview,firewallmanager,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/ns_firewallmanager,check_ns2_disable_public,ARM management-plane only; no public/private network toggle for Firewall Policy | Firewall Manager operates via Azure Resource Manager APIs (management plane). No public data plane endpoint to disable. Source: https://learn.microsoft.com/en-us/azure/firewall-manager/overview,firewallmanager,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp1_data_classification,"Firewall Policy stores rule config only; no customer PII/business data | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",firewallmanager,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp2_dlp,"No DLP for policy resource; rule config only | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",firewallmanager,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,platform (HTTPS/TLS 1.2+ enforced by ARM),firewallmanager/dp_firewallmanager,check_dp3_tls_transit,feature_supported=True enabled_by_default=True → PASS static (microsoft_managed); ARM API uses HTTPS/TLS; platform-enforced,firewallmanager,Medium,Narrow,2
DP-4,Data at Rest Encryption Using Platform Keys,True,Not Applicable,implemented,implemented,platform (microsoft-managed keys),firewallmanager/dp_firewallmanager,check_dp4_platform_keys,Policy config encrypted at rest by platform-managed keys by default → PASS static (microsoft_managed),firewallmanager,Medium,Narrow,2
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp5_cmk,"CMK not supported on Firewall Policy resource | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",firewallmanager,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,firewallmanager/dp_firewallmanager,check_dp6_key_mgmt,"No encryption keys on policy resource; KV integration only via DP-7 TLS cert | Network infrastructure resource that routes/filters/monitors network traffic. Does not store or process customer application data. Data protection controls (encryption at rest, DLP, CMK, Key Vault integration) are not applicable — there is no customer data at rest in this service. Configuration data is managed via ARM and encrypted by Azure platform by default. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-overview",firewallmanager,Medium,Wide,4
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,transport_security.certificate_authority.key_vault_secret_id,firewallmanager/dp_firewallmanager,check_dp7_cert_kv,LIVE: Premium + KV cert ref set → PASS; Premium no cert → FAIL; Standard/Basic → UNKNOWN (TLS inspection is Premium-only),firewallmanager,Medium,Wide,4
