"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; THIM service provides unauthenticated public cache of hardware attestation collateral (TPM/SEV-SNP certificates); public endpoint by design — no AAD auth required or applicable; not_applicable"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"BR-1","Azure Backup","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
"AM-2","Azure Policy Support","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; THIM is a transparent platform caching service for hardware attestation certificates; fully Microsoft-managed; no customer-configurable controls; not_applicable"
