asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_nsg,VPN GW subnets are in customer VNet; VNet subnet traffic respects NSG rules by default; microsoft_managed; Note: NSG on GatewaySubnet itself breaks VPN — NSGs protect spoke subnets,vpngateway,High,Narrow,3
NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_vnet,VPN GW always deployed into customer GatewaySubnet within a VNet; VNet integration inherent; microsoft_managed,vpngateway,High,Narrow,3
NS-2,Azure Private Link,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/ns_vpngateway,check_ns2_private_link,VPN GW IS the private connectivity service; Private Endpoint not applicable on VPN GW itself; feature_supported=False,vpngateway,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/ns_vpngateway,check_ns2_disable_public,VPN GW requires public IP for IKE negotiation; no public_network_access toggle; public IP inherent to function,vpngateway,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp1_data_classification,VPN GW is a routing/tunneling service; no persistent customer PII/data store; Purview not applicable,vpngateway,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp2_dlp,VPN GW routes encrypted tunnels; no persistent customer data store; DLP not applicable,vpngateway,Medium,Wide,4
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/dp_vpngateway,check_dp3_tls_transit,IPsec/IKEv2 encryption is core function of VPN GW; all tunnel traffic always encrypted; microsoft_managed,vpngateway,Medium,Narrow,2
DP-4,Data at Rest Encryption Using Platform Keys,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp4_platform_keys,feature_supported=False in baseline; VPN GW has no persistent customer data at rest; PSK in resource metadata not customer data for DP-4 purposes,vpngateway,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp5_cmk,CMK not applicable; VPN GW stores no customer data requiring CMK encryption,vpngateway,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp6_key_mgmt,PSK stored in VPN GW resource; no KV key management integration; feature_supported=False,vpngateway,Medium,Wide,4
