asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Spatial Anchors enforces AAD auth for anchor management API (create/read/update/delete); deprecated November 2024,spatialanchors,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Spatial Anchors is PaaS; deprecated November 2024; not_applicable,spatialanchors,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Spatial Anchors uses AAD token auth; no service credentials requiring Key Vault storage; deprecated November 2024; not_applicable,spatialanchors,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Spatial Anchors is PaaS; anti-malware not applicable at service level; deprecated November 2024; not_applicable,spatialanchors,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; PaaS service not applicable; deprecated November 2024; not_applicable,spatialanchors,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; PaaS Spatial Anchors service not applicable; deprecated November 2024; not_applicable,spatialanchors,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management targets customer VMs; PaaS service not applicable; deprecated November 2024; not_applicable,spatialanchors,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Spatial Anchors does not use Azure Backup; deprecated November 2024; not_applicable,spatialanchors,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration targets VMs; PaaS service not applicable; deprecated November 2024; not_applicable,spatialanchors,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,spatialAnchorsAccount.tags,,,LIVE-DIRECT: tags proxy for Azure Policy governance; deprecated November 2024,spatialanchors,Medium,Wide,4
