asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,ag.gateway_ip_configurations[0].subnet → subnet.network_security_group,waf/ns_waf,check_ns1_nsg,LIVE-INDIRECT: cross-reference App GW subnet for NSG; no AGs linked → UNKNOWN; classic inline WAF (no firewall_policy.id) not reachable via WAF policy | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,High,Wide,6
NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,waf/ns_waf,check_ns1_vnet,App GW (WAF host) always deployed in customer VNet; VNet integration inherent to App GW deployment; microsoft_managed | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,High,Narrow,3
NS-2,Azure Private Link,True,False,implemented,implemented,ag.private_link_configurations,waf/ns_waf,check_ns2_private_link,LIVE-INDIRECT: App GW private_link_configurations; non-empty → PASS; AFD Premium Private Link for WAF-linked origins covered separately | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,ag.frontend_ip_configurations,waf/ns_waf,check_ns2_disable_public,LIVE-INDIRECT: App GW frontend_ip_configurations; public IP present → FAIL; private-only → PASS | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,True,False,implemented,implemented,policy.policy_settings.log_scrubbing.state,waf/dp_waf,check_dp1_log_scrubbing,LIVE-DIRECT: WAF Log Scrubbing tool masks PII in WAF logs; log_scrubbing.state=='Enabled' → PASS; None (old SDK) → UNKNOWN | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/dp_waf,check_dp2_dlp,"WAF stores no persistent customer data; DLP targets services with data stores; not_applicable | Exa 2026-06-19: WAF does not store any persistent customer data (confirmed in MCSB v3 baseline notes: 'Since the WAF does not store any customer data storage there is no DLP solution'). DLP solutions target services with persistent data stores (Storage, SQL, Cosmos DB). WAF is a routing/inspection service. Not applicable. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Medium,Wide,4
DP-3,Data in Transit Encryption,True,False,implemented,implemented,ag.ssl_policy.min_protocol_version,waf/dp_waf,check_dp3_tls_transit,LIVE-INDIRECT: App GW ssl_policy.min_protocol_version; TLSv1_2/TLSv1_3 → PASS; None/TLSv1_0/TLSv1_1 → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/dp_waf,check_dp4_platform_keys,"WAF stores no customer data at rest (confirmed in MCSB v3 baseline); platform key encryption not applicable | Exa 2026-06-19: WAF does not store customer data at rest (confirmed in MCSB v3 baseline: 'WAF does not store customer data. Logging data generated by the WAF is stored by Azure Monitor'). Platform key encryption for at-rest data not applicable. Log data is stored in Azure Monitor (Log Analytics), not in WAF Policy resource. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/dp_waf,check_dp5_cmk,"WAF stores no customer data at rest; CMK not applicable; not_applicable in baseline | Exa 2026-06-19: CMK encryption requires customer data at rest in the service. WAF stores no customer data at rest (baseline confirmed). Not applicable. If customer wants CMK for WAF logs, they configure CMK on the Log Analytics Workspace where WAF diagnostic logs are sent — that is a Log Analytics Workspace control, not a WAF control. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/dp_waf,check_dp6_key_mgmt,WAF has no customer-managed keys; not_applicable in baseline | Exa 2026-06-19: WAF has no customer-managed encryption keys to store in Key Vault. DP-7 covers KV certificate integration (separate control). DP-6 specifically covers CMK key management — not applicable since WAF has no CMK. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,waf,Medium,Wide,4
