asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation enforces AAD authentication for runbook execution and management API; always enabled; platform-enforced,automation,High,Narrow,3
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; no compute workloads in Automation Account; Adaptive Application Controls applies to VMs not PaaS services; not_applicable,automation,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation Account natively integrates Key Vault for runbook credential and secret management; KV-backed secure assets available by default; platform-enforced,automation,High,Narrow,3
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Account is PaaS; Hybrid Worker VMs are customer-managed and not in scope here; anti-malware not applicable at Account level,automation,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account level; Hybrid Worker VM health is customer responsibility; not_applicable,automation,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation IS the State Configuration service; the Account cannot configure itself via DSC; not_applicable,automation,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation IS the Update Management service; no concept of updating the Account itself via Update Management; not_applicable,automation,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=False; Azure Automation Account configuration (runbooks, schedules, connections) not covered by Azure Backup; use source control integration for runbook versioning; not_applicable",automation,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no VM guest agent concept; not_applicable,automation,Low,Wide,2
AM-2,Azure Policy Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Policy governance applies to Automation Accounts via Azure Resource Manager; policy assignments enforced platform-side,automation,Medium,Narrow,2
PA-7,Azure RBAC for Data Plane,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Automation enforces RBAC for runbook and job operations; built-in roles: Automation Operator, Automation Job Operator, Automation Runbook Operator; platform-enforced access control",automation,High,Narrow,3
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,automationAccount.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Automation supports certificate assets referencing Key Vault for runbook authentication; check encryption keyVaultProperties for active KV reference,automation,Medium,Wide,4
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation runbook execution uses MI or Run As account; no separate Conditional Access evaluation point for data plane operations; not_applicable,automation,High,Wide,6
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Azure Automation not in Customer Lockbox supported service list; not_applicable,automation,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no container image management; not_applicable,automation,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no VM image management at Account level; not_applicable,automation,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,automationAccount.properties.encryption.keySource,,,LIVE-DIRECT: Azure Automation Account supports CMK for encrypting stored assets; check properties.encryption.keySource == Microsoft.Keyvault,automation,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Automation Account encrypts all stored data (runbooks, credentials, connection assets) at rest using Microsoft-managed keys by default; platform-enforced",automation,Medium,Narrow,2
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation enforces TLS 1.2+ for all API and webhook traffic; platform-enforced,automation,Medium,Narrow,2
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation is an orchestration service; DLP concept not applicable to runbook execution infrastructure; not_applicable,automation,Medium,Wide,4
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; no dedicated Microsoft Defender plan for Azure Automation Account service; Defender for Servers covers Hybrid Worker VMs separately; not_applicable at Account level,automation,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,automationAccount.properties.publicNetworkAccess,,,LIVE-DIRECT: Azure Automation Account supports disabling public network access; check properties.publicNetworkAccess == Disabled,automation,High,Wide,6
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no endpoint layer at Account level; Hybrid Worker VMs are customer responsibility; not_applicable,automation,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,automationAccount.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Automation supports CMK key rotation via Key Vault; check properties.encryption.keyVaultProperties.keyUri for active KV reference,automation,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Account is PaaS; no local admin account concept; not_applicable,automation,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,N/A — LIVE→behavior check,,,LIVE-DIRECT: Azure Automation supports local credential assets (stored username/password); customers should prefer Managed Identity over stored credentials; review credential asset usage for least-privilege compliance,automation,High,Wide,6
IM-3,Managed Identities,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation Account supports system-assigned and user-assigned managed identities; MI replaces deprecated Run As account for runbook authentication; platform-enforced,automation,High,Narrow,3
BR-1,Service Native Backup Capability,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Automation Account runbooks and configuration not backed up by Azure Backup; source control integration recommended for versioning; not_applicable,automation,Medium,Wide,4
