asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Azure Logic Apps AAD authentication: https://learn.microsoft.com/azure/logic-apps/logic-apps-securing-a-logic-app?tabs=azure-portal#enable-azure-active-directory-open-authentication-azure-ad-oauth,,,LIVE-DIRECT: Azure AD Authentication Required for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property,logicapps,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,logicapps,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,Logic Apps Standard App Settings: https://learn.microsoft.com/azure/app-service/app-service-key-vault-references?tabs=azure-cli,,,LIVE-DIRECT: Service Credential and Secrets Support Integration and Storage in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property,logicapps,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,logicapps,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,logicapps,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,logicapps,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,logicapps,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure Backup not supported; web research 2026 confirms no change; still_not_applicable,logicapps,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,logicapps,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,Logic Apps built-in Policies: https://learn.microsoft.com/azure/logic-apps/policy-reference,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default; customer must configure; verify ARM property,logicapps,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure RBAC for Data Plane not supported; web research 2026 confirms no change; still_not_applicable,logicapps,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,Microsoft.Logic/workflows/properties/integrationAccount,,,LIVE-DIRECT: Certificate Management in Azure Key Vault supported but not enabled by default on Azure Logic Apps; verify Microsoft.Logic/workflows/properties/integrationAccount,logicapps,Medium,Wide,4
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Conditional Access for Data Plane not applicable to this service by design; not_applicable_paas,logicapps,High,Wide,6
PA-8,Customer Lockbox,True,False,implemented,implemented,Logic Apps customer lockbox: https://learn.microsoft.com/azure/security/fundamentals/customer-lockbox-overview#supported-services-and-scenarios,,,LIVE-DIRECT: Customer Lockbox supported but not enabled by default; customer must configure; verify ARM property,logicapps,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom Containers Images not applicable to this service by design; not_applicable_paas,logicapps,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom VM Images not applicable to this service by design; not_applicable_paas,logicapps,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,Microsoft.Logic/workflows/properties/encryptionConfiguration,,,LIVE-DIRECT: Data at Rest Encryption Using CMK supported but not enabled by default on Azure Logic Apps; verify Microsoft.Logic/workflows/properties/encryptionConfiguration,logicapps,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data at Rest Encryption Using Platform Keys enabled by default on logicapps; platform-enforced,logicapps,Medium,Narrow,2
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data in Transit Encryption enabled by default on logicapps; platform-enforced,logicapps,Medium,Narrow,2
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Data Leakage/Loss Prevention not supported; web research 2026 confirms no change; still_not_applicable,logicapps,Medium,Wide,4
