service,asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,severity,blast_radius,risk_rank
addds,IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),,,LIVE→UNKNOWN: ADDDS supports Kerberos and NTLM local auth methods; NTLM can be restricted via fine-grained password policy but no ARM property to inspect remotely; verify via Azure Policy audit,High,Wide,6
addds,NS-1,Network Security Group Support,True,False,implemented,implemented,subnet(aadds-subnet).network_security_group,,,LIVE-DIRECT: NSG required on ADDDS dedicated subnet; NSG existence confirms compliance; do not validate individual rules (Microsoft-required rules are auto-applied),High,Wide,6
addds,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(domainService.id).logs,,,"LIVE-DIRECT: ADDDS emits security audit logs (Kerberos auth, NTLM auth, LDAP bind); check DiagnosticSettings for log category enabled",High,Wide,6
apimanagement,IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Microsoft.ApiManagement/service/authorizationServers,,,LIVE-DIRECT: API Management supports AAD/Entra ID OAuth2 for API data plane; configure via Authorization Servers or validate-jwt policy.,High,Wide,6
apimanagement,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,Microsoft.ApiManagement/service/namedValues,,,LIVE-DIRECT: API Management Named Values supports Azure Key Vault integration for secrets; configure via namedValues with keyVault references.,High,Wide,6
apimanagement,PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.ApiManagement/service,,,"LIVE-DIRECT: Azure RBAC supported for API Management data plane via built-in roles (API Management Service Reader, Contributor, Operator).",High,Wide,6
apimanagement,PA-8,Customer Lockbox,True,False,implemented,implemented,Microsoft.ApiManagement/service,,,LIVE-DIRECT: Azure API Management is listed in Customer Lockbox supported services; Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/customer-lockbox-overview,High,Wide,6
apimanagement,LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,now_applicable_native,now_applicable_native,,,,now_applicable_native: Microsoft Defender for APIs plan in Defender for Cloud provides full lifecycle protection for APIs in API Management. GA. Source: https://learn.microsoft.com/en-us/azure/defender-for-cloud/defender-for-apis-introduction,High,Wide,6
apimanagement,NS-2,Disable Public Network Access,True,False,implemented,implemented,Microsoft.ApiManagement/service/publicNetworkAccess,,,LIVE-DIRECT: API Management supports disabling public network access via publicNetworkAccess property (requires VNet integration or private endpoint).,High,Wide,6
apimanagement,PA-1,Local Admin Accounts,True,False,implemented,implemented,Microsoft.ApiManagement/service/users,,,LIVE-DIRECT: API Management supports built-in developer portal user accounts; restrict via AAD B2C integration; disable unused local accounts.,High,Wide,6
