asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Bot Service enforces AAD authentication for management plane; data plane channel auth uses AAD tokens,botservice,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Bot Service is PaaS; not_applicable,botservice,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),,,LIVE→UNKNOWN: Bot Service credentials (MSA app secret) can be stored in Key Vault; no ARM property on bot resource to verify KV usage; behavioral pattern,botservice,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Bot Service is a PaaS messaging gateway; anti-malware not applicable at service resource level,botservice,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; PaaS Bot Service not applicable,botservice,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; PaaS Bot Service not applicable,botservice,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Update Management targets customer VMs; PaaS Bot Service not applicable,botservice,Low,Wide,2
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Bot Service configuration does not use Azure Backup; configuration is in ARM templates; not_applicable,botservice,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Guest Configuration targets VMs; PaaS Bot Service not applicable,botservice,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,botService.tags,,,LIVE-DIRECT: tags proxy for Azure Policy governance; botService.tags non-empty → PASS,botservice,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Azure RBAC applies to management plane (create/delete bot); data plane (message delivery) does not support Azure RBAC; not_applicable,botservice,High,Wide,6
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Bot Service does not use Key Vault for certificate management; not_applicable,botservice,Medium,Wide,4
