asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,Managed identity for Azure Data Factory: https://docs.microsoft.com/azure/data-factory/data-factory-service-identity,,,LIVE-DIRECT: Azure AD Authentication Required for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,datafactory,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,Store credentials in Azure Key Vault: https://docs.microsoft.com/azure/data-factory/store-credentials-in-key-vault,,,LIVE-DIRECT: Service Credential and Secrets Support Integration and Storage in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,datafactory,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,datafactory,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,datafactory,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,datafactory,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup not applicable to this service by design; not_applicable_paas,datafactory,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,datafactory,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,Azure Policy built-in definitions for Data Factory: https://docs.microsoft.com/azure/data-factory/policy-reference,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure RBAC for Data Plane enabled by default on datafactory; platform-enforced | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Narrow,3
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,Store credentials in Azure Key Vault: https://docs.microsoft.com/azure/data-factory/store-credentials-in-key-vault,,,LIVE-DIRECT: Certificate Management in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Wide,4
IM-7,Conditional Access for Data Plane,True,False,implemented,implemented,"Conditional Access: Cloud apps, actions, and authentication context: https://docs.microsoft.com/azure/active-directory/conditional-access/concept-conditional-access-cloud-apps",,,LIVE-DIRECT: Conditional Access for Data Plane supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
PA-8,Customer Lockbox,True,False,implemented,implemented,Customer Lockbox for Microsoft Azure: https://docs.microsoft.com/azure/security/fundamentals/customer-lockbox-overview,,,LIVE-DIRECT: Customer Lockbox supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom Containers Images not applicable to this service by design; not_applicable_paas,datafactory,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Custom VM Images not applicable to this service by design; not_applicable_paas,datafactory,Low,Wide,2
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,Encrypt Azure Data Factory with customer-managed keys: https://docs.microsoft.com/azure/data-factory/enable-customer-managed-key,,,LIVE-DIRECT: Data at Rest Encryption Using CMK supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data at Rest Encryption Using Platform Keys enabled by default on datafactory; platform-enforced | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Narrow,2
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Data in Transit Encryption enabled by default on datafactory; platform-enforced | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Narrow,2
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Data Leakage/Loss Prevention not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Wide,4
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Microsoft Defender for Service / Product Offering not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,Azure Private Link for Azure Data Factory: https://docs.microsoft.com/azure/data-factory/data-factory-private-link,,,LIVE-DIRECT: Disable Public Network Access supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; EDR Solution not applicable to this service by design; not_applicable_paas,datafactory,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,Store credentials in Azure Key Vault: https://docs.microsoft.com/azure/data-factory/store-credentials-in-key-vault,,,LIVE-DIRECT: Key Management in Azure Key Vault supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,Medium,Wide,4
PA-1,Local Admin Accounts,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Local Admin Accounts not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,Access data stores and file shares with Windows authentication from SSIS packages in Azure: https://docs.microsoft.com/azure/data-factory/ssis-azure-connect-with-windows-auth,,,LIVE-DIRECT: Local Authentication Methods for Data Plane Access supported but not enabled by default; customer must configure; verify ARM property | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/data-factory-security-baseline,datafactory,High,Wide,6
