asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,subnet.private_endpoint_network_policies,privatelink/ns_privatelink,check_ns1_nsg,LIVE-DIRECT: check subnet.private_endpoint_network_policies for PE subnet; default='Disabled' (NSG bypassed — most deployments FAIL); PASS if 'Enabled' or 'NetworkSecurityGroupEnabled'; cross-ref via subnets.get(rg vnet subnet) parsed from endpoint.subnet.id | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-private-link-security-baseline,privatelink,High,Wide,6
NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns1_vnet,Private Endpoint always deployed in customer VNet by definition; VNet integration inherent to PE architecture; microsoft_managed | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-private-link-security-baseline,privatelink,High,Narrow,3
NS-2,Azure Private Link,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns2_private_link,The assessed service IS Azure Private Link; Private Link support is meta-tautological for this resource type; microsoft_managed | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-private-link-security-baseline,privatelink,High,Narrow,3
NS-2,Disable Public Network Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,privatelink/ns_privatelink,check_ns2_disable_public,PE has no public endpoint concept; all traffic via private IP in customer VNet; microsoft_managed | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-private-link-security-baseline,privatelink,High,Narrow,3
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp1_sensitive_data,"PE is network relay (NIC); stores no customer data; data classification applies to connected PaaS service (e.g. Storage SQL); not_applicable at PE resource level | Exa 2026-06-19: Private Endpoint is a NIC with a private IP address — it does not store any customer data. Data discovery and classification (Azure Purview, Microsoft Information Protection) applies to services with data stores (Storage, SQL DB, Cosmos DB). The PE resource itself has no data to classify. Apply DP-1 to the connected PaaS service. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp2_dlp,"PE stores no persistent customer data; DLP targets services with data stores; not_applicable at PE resource level | Exa 2026-06-19: PE stores no persistent customer data. DLP solutions (Defender for Cloud DLP policies, Microsoft Purview DLP) target services with data stores. PE is a network relay — it routes connections but holds no data. Qwen3 reclassification marked this customer/True but final_verdict=not_applicable is correct. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
DP-3,Data in Transit Encryption,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp3_tls_transit,"PE does not terminate or encrypt traffic; encryption handled by connected service (e.g. HTTPS to Storage TLS to SQL); not_applicable at PE resource level | Exa 2026-06-19: PE does not terminate TLS or perform any encryption. It forwards TCP connections from the private IP in the VNet to the connected PaaS service. Encryption is handled by the application layer protocol (HTTPS, TLS) between the client and the PaaS service backend — not by the PE NIC itself. Qwen3 reclassified as customer/True but final_verdict=not_applicable is correct. Apply DP-3 to the connected service. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp4_platform_keys,"PE stores no customer data at rest; platform key encryption not applicable at PE resource level | Exa 2026-06-19: PE is a NIC resource (ARM object). It has no data at rest beyond its ARM configuration (target resource ID, subnet reference, private DNS zone group, connection approval state). ARM configuration objects are protected by Microsoft-managed encryption at the platform level — not a customer-facing control. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp5_cmk,"PE stores no customer data at rest; CMK not applicable at PE resource level; apply CMK to connected PaaS service if required | Exa 2026-06-19: CMK encryption requires customer data at rest in the service. PE stores no customer data at rest (only ARM config metadata). CMK not applicable. Apply CMK to the connected PaaS service (e.g., Storage CMK, SQL DB CMK) if required. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp6_key_mgmt,PE has no customer-managed encryption keys; KV key management not applicable at PE resource level | Exa 2026-06-19: PE has no customer-managed encryption keys to store in Key Vault. No CMK support exists for the PE NIC resource. DP-7 covers KV certificate integration for the connected service — not applicable to PE itself. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,privatelink,Medium,Wide,4
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/dp_privatelink,check_dp7_cert_kv,"PE does not manage TLS certificates; cert management applies to connected service; not_applicable at PE resource level | Exa 2026-06-19: PE does not manage TLS certificates. It is a TCP-level forwarder (NIC). TLS certificate management applies to the connected PaaS service (e.g., App Gateway TLS cert via KV, Storage custom domain cert via KV). not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
