asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,namespaces.get_network_rule_set().default_action,servicebus/ns_servicebus,check_ns1_nsg,Network rule set default_action=Deny → network-level control PASS; SB not subnet-injected so NSG proxy via rule set,servicebus,High,Wide,6
NS-1,Virtual Network Integration,True,False,implemented,implemented,namespaces.get_network_rule_set().virtual_network_rules / privateEndpointConnections,servicebus/ns_servicebus,check_ns1_vnet,Premium-only; non-Premium → UNKNOWN; Premium without VNet rules or private endpoints → FAIL,servicebus,High,Wide,6
NS-2,Azure Private Link,True,False,implemented,implemented,privateEndpointConnections,servicebus/ns_servicebus,check_ns2_private_link,At least one Approved private endpoint connection embedded in namespace object → PASS,servicebus,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,publicNetworkAccess / namespaces.get_network_rule_set().default_action,servicebus/ns_servicebus,check_ns2_disable_public_access,PASS if public_network_access=Disabled OR network rule set default_action=Deny,servicebus,High,Wide,6
DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,False,Not Applicable,upgraded_implemented,now_applicable_native,publicNetworkAccess,servicebus/dp_servicebus,check_dp2_dlp,public_network_access=Disabled → exfil surface restricted → PASS; no native DLP product for SB message bodies,servicebus,Medium,Narrow,2
DP-3,Encrypt Data in Transit,True,False,implemented,implemented,minimumTlsVersion,servicebus/dp_servicebus,check_dp3_tls_transit,minimum_tls_version in (1.2 / 1.3) → PASS,servicebus,Medium,Wide,4
DP-4,Encrypt Data at Rest with Platform-Managed Keys,True,True,implemented,implemented,N/A (inherent — all SKUs),servicebus/dp_servicebus,check_dp4_platform_keys,All SKUs (Basic/Standard/Premium) encrypted with MS-managed keys by default — auto-PASS (static),servicebus,Medium,Narrow,2
DP-5,Encrypt Data at Rest with Customer-Managed Key,True,False,implemented,implemented,encryption.keySource,servicebus/dp_servicebus,check_dp5_cmk,Premium SKU only; encryption.key_source=Microsoft.KeyVault → PASS; non-Premium → UNKNOWN; Premium without CMK → FAIL,servicebus,Medium,Wide,4
DP-6,Manage Cryptographic Keys using Key Management Service,False,Not Applicable,upgraded_implemented,now_applicable_native,encryption.keySource,servicebus/dp_servicebus,check_dp6_key_mgmt,Premium SKU uses KV for CMK key management; ARM-checkable; non-Premium → UNKNOWN,servicebus,Medium,Narrow,2
DP-7,Certificate Management using Azure Key Vault,False,Not Applicable,not_applicable_managed,conditional,N/A (Microsoft-managed infrastructure),servicebus/dp_servicebus,check_dp7_cert_kv,SB TLS certs are Microsoft-managed infrastructure; customer cert management via KV not ARM-readable → UNKNOWN,servicebus,Medium,Wide,4
IM-1,Use Centralized Identity and Authentication System — Disable Local Auth,False,Not Applicable,upgraded_implemented,now_applicable_native,disableLocalAuth,servicebus/im_servicebus,check_im1_local_auth_methods,disable_local_auth=True disables SAS keys; GA property analogous to Redis disable_access_key_authentication,servicebus,High,Narrow,3
