asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (AzureFirewallSubnet prohibits NSGs),azurefirewall/ns_azurefirewall,check_ns1_nsg,"AzureFirewallSubnet blocks subnet-level NSGs by design; platform-managed NIC NSG not visible via ARM → UNKNOWN static | Exa 2026-06-18: AzureFirewallSubnet prohibits subnet-level NSGs by design to prevent service interruption. Microsoft manages NIC-level NSGs on Firewall nodes — these are not visible via ARM. No change since v3 doc. NSG-based segmentation applies to spoke subnets routing through the firewall, not the firewall subnet itself. Source: https://learn.microsoft.com/en-us/azure/firewall/firewall-faq#are-there-any-firewall-resource-group-restrictions",azurefirewall,High,Narrow,3
NS-1,Virtual Network Integration,True,True,implemented,implemented,ipConfigurations[*].subnet.id contains 'AzureFirewallSubnet',azurefirewall/ns_azurefirewall,check_ns1_vnet,microsoft_managed default True; verify subnet placement via ip_configurations → PASS if AzureFirewallSubnet found,azurefirewall,High,Narrow,3
NS-1,Threat Intelligence Mode,True,False,implemented,implemented,threatIntelMode,azurefirewall/ns_azurefirewall,check_ns1_threat_intel,threatIntelMode='Deny' → PASS; 'Alert' → FAIL (logs only); 'Off' → FAIL,azurefirewall,High,Wide,6
NS-1,Intrusion Detection and Prevention System (IDPS),True,False,conditional,conditional,sku.tier + idpsSettings.mode,azurefirewall/ns_azurefirewall,check_ns1_idps,Premium SKU + idpsSettings.mode='Deny' → PASS; Standard SKU → FAIL (IDPS not available); Premium + Alert/Off → FAIL,azurefirewall,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azurefirewall/dp_azurefirewall,check_dp1_data_classification,Firewall does not store customer data at rest; Purview/AIP classification not applicable | Exa 2026-06-18: Azure Firewall does not store or process customer data at rest. It inspects transiting network traffic. Purview/AIP data classification tools do not apply to firewall rule sets or network packet inspection. Source: https://learn.microsoft.com/en-us/azure/firewall/overview,azurefirewall,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azurefirewall/dp_azurefirewall,check_dp2_dlp,"No DLP product for Azure Firewall; FQDN filtering provides compensating outbound control | Exa 2026-06-18: No DLP product integration for Azure Firewall. Application rule collections with FQDN filtering provide outbound traffic control as a compensating control, but this is not a formal DLP solution. Source: https://learn.microsoft.com/en-us/azure/firewall/features",azurefirewall,Medium,Wide,4
DP-3,Data in Transit Encryption — TLS Inspection,True,False,conditional,conditional,transportSecurity.certificateAuthority,azurefirewall/dp_azurefirewall,check_dp3_tls_transit,Premium SKU + transport_security.certificate_authority set → PASS; Standard → UNKNOWN (TLS inspection not available),azurefirewall,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A (Microsoft-managed),azurefirewall/dp_azurefirewall,check_dp4_platform_keys,microsoft_managed default; derived certs and backend state encrypted with platform keys → PASS static,azurefirewall,Medium,Narrow,2
DP-5,Data at Rest Encryption Using CMK,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azurefirewall/dp_azurefirewall,check_dp5_cmk,CMK not supported; no customer data at rest requiring encryption | Exa 2026-06-18: Azure Firewall does not support CMK. The service does not store customer data requiring CMK encryption. Derived TLS certificates are encrypted with Microsoft-managed platform keys. No change since v3 doc. Source: https://learn.microsoft.com/en-us/azure/firewall/security-baseline#dp-5-use-customer-managed-key-option-in-data-at-rest-encryption-when-required,azurefirewall,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,False,Not Applicable,now_applicable_native,now_applicable_native,transportSecurity.certificateAuthority.keyVaultSecretId + identity,azurefirewall/dp_azurefirewall,check_dp6_key_mgmt,Premium TLS inspection uses KV-stored intermediate CA cert; 2024 GA — Premium SKU + KV secret ID + MI → PASS Source: https://learn.microsoft.com/en-us/azure/firewall/premium-certificates#azure-key-vault (evidence_date: 2024-06),azurefirewall,Medium,Narrow,2
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,transportSecurity.certificateAuthority.keyVaultSecretId,azurefirewall/dp_azurefirewall,check_dp7_cert_kv,Premium SKU; intermediate CA cert lifecycle managed in Key Vault; key_vault_secret_id set → PASS,azurefirewall,Medium,Wide,4
IM-1,Local Authentication Methods for Data Plane Access,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),azurefirewall/im_azurefirewall,check_im1_local_auth_methods,No local auth concept; all management via ARM/Entra ID RBAC → UNKNOWN static | Exa 2026-06-18: Azure Firewall is a fully managed network service with no customer-accessible management interface or data plane requiring local authentication. All management is via ARM with Entra ID identity enforcement. No local auth concept exists. Source: https://learn.microsoft.com/en-us/azure/firewall/security-baseline#im-1-use-centralized-identity-and-authentication-system,azurefirewall,High,Narrow,3
IM-1,Azure AD Authentication Required for Data Plane Access,False,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),azurefirewall/im_azurefirewall,check_im1_aad_auth_required,No data plane; ARM enforces Entra ID auth for all management operations → UNKNOWN static | Exa 2026-06-18: No separate 'enable AAD auth' toggle exists for Azure Firewall. ARM enforces Entra ID authentication for all management plane operations. No data plane exists for customers to authenticate to. Source: https://learn.microsoft.com/en-us/azure/firewall/security-baseline#im-1-use-centralized-identity-and-authentication-system,azurefirewall,High,Narrow,3
IM-3,Managed Identities,False,Not Applicable,now_applicable_native,now_applicable_native,identity (SystemAssigned or UserAssigned),azurefirewall/im_azurefirewall,check_im3_managed_identities,Firewall MI used to pull KV cert for Premium TLS inspection; firewall.identity present → PASS (now_applicable_native 2024) Source: https://learn.microsoft.com/en-us/azure/firewall/premium-certificates#azure-key-vault (evidence_date: 2024-06),azurefirewall,High,Narrow,3
