asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_nsg,VPN GW subnets are in customer VNet; VNet subnet traffic respects NSG rules by default; microsoft_managed; Note: NSG on GatewaySubnet itself breaks VPN — NSGs protect spoke subnets
NS-1,Virtual Network Integration,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/ns_vpngateway,check_ns1_vnet,VPN GW always deployed into customer GatewaySubnet within a VNet; VNet integration inherent; microsoft_managed
NS-2,Azure Private Link,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/ns_vpngateway,check_ns2_private_link,VPN GW IS the private connectivity service; Private Endpoint not applicable on VPN GW itself; feature_supported=False
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/ns_vpngateway,check_ns2_disable_public,VPN GW requires public IP for IKE negotiation; no public_network_access toggle; public IP inherent to function
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp1_data_classification,VPN GW is a routing/tunneling service; no persistent customer PII/data store; Purview not applicable
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp2_dlp,VPN GW routes encrypted tunnels; no persistent customer data store; DLP not applicable
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/dp_vpngateway,check_dp3_tls_transit,IPsec/IKEv2 encryption is core function of VPN GW; all tunnel traffic always encrypted; microsoft_managed
DP-4,Data at Rest Encryption Using Platform Keys,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp4_platform_keys,feature_supported=False in baseline; VPN GW has no persistent customer data at rest; PSK in resource metadata not customer data for DP-4 purposes
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp5_cmk,CMK not applicable; VPN GW stores no customer data requiring CMK encryption
DP-6,Key Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp6_key_mgmt,PSK stored in VPN GW resource; no KV key management integration; feature_supported=False
DP-7,Certificate Management in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/dp_vpngateway,check_dp7_cert_kv,IKE/P2S certs uploaded directly to VPN GW; no KV cert integration; feature_supported=False
IM-1,Disable Local Authentication Methods,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/im_vpngateway,check_im1_local_auth_methods,No local auth concept on VPN GW; S2S uses PSK/cert; P2S uses AAD or cert; no disable_local_auth toggle
IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,vpn_client_configuration.vpn_auth_types,vpngateway/im_vpngateway,check_im1_aad_auth_required,P2S VPN supports AAD auth (Entra ID); check vpn_auth_types for 'AAD'; S2S-only gateways return UNKNOWN (P2S not configured)
IM-3,Managed Identities,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/im_vpngateway,check_im3_managed_identities,VPN GW makes no outbound Azure service calls requiring MI; feature_supported=False
IM-3,Service Principals,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/im_vpngateway,check_im3_service_principals,VPN GW resource makes no outbound calls requiring SP identity; operator SP access is PA-7 scope
IM-7,Conditional Access for Data Plane,True,False,conditional,conditional,N/A — Entra ID level; not ARM-checkable,vpngateway/im_vpngateway,check_im7_conditional_access,CA supported for P2S+AAD at Entra ID level; CA policies in Entra ID not VPN GW ARM resource; not checkable via read-only ARM without Graph API scope
IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/im_vpngateway,check_im8_keyvault_secrets,PSK stored in VPN GW resource; no KV-backed credential storage; feature_supported=False
LT-1,Microsoft Defender for Service,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/lt_vpngateway,check_lt1_defender,No dedicated Microsoft Defender for VPN Gateway product; no Defender pricing tier for VPN GW
LT-4,Azure Resource Logs,False,Not Applicable,now_applicable_native,now_applicable_native,diagnostic_settings.list(gateway.id),vpngateway/lt_vpngateway,check_lt4_resource_logs,feature_supported=False in original v3 baseline; VPN GW DiagSettings now available; categories: TunnelDiagnosticLog/IKEDiagnosticLog/P2SDiagnosticLog/RouteDiagnosticLog/GatewayDiagnosticLog
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/br_vpngateway,check_br1_azure_backup,Azure Backup does not support VPN GW as backup target; feature_supported=False; use IaC (ARM/Bicep/Terraform) for config recovery
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/br_vpngateway,check_br1_native_backup,VPN GW has no native backup; config IaC-recoverable via ARM template export + connections; PSK should be stored in KV for recovery
AM-2,Azure Policy Support,True,False,implemented,implemented,gateway.tags,vpngateway/am_vpngateway,check_am2_policy,Tags proxy for Azure Policy governance; tags present → PASS; empty → FAIL
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/am_vpngateway,check_am5_defender_aac,PaaS network service; AAC targets VMs and Arc-enabled servers; not applicable to VPN GW
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pa_vpngateway,check_pa1_local_admin,PaaS; no compute; no local admin concept on VPN GW resource
PA-7,Azure RBAC for Data Plane,True,True,implemented,implemented,N/A — microsoft_managed PASS static,vpngateway/pa_vpngateway,check_pa7_rbac_data_plane,ARM RBAC enforced by default; feature_supported=True + enabled_by_default=True + microsoft_managed; Network Contributor or custom role
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pa_vpngateway,check_pa8_customer_lockbox,Customer Lockbox not available for VPN GW; feature_supported=False
ES-1,Endpoint Detection and Response,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/es_vpngateway,check_es1_edr,PaaS network service; no compute substrate; EDR targets VMs/servers; not applicable
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/es_vpngateway,check_es2_antimalware,PaaS network service; no compute substrate; anti-malware not applicable
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/es_vpngateway,check_es3_antimalware_health,PaaS network service; no compute substrate; health monitoring not applicable
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pv_vpngateway,check_pv3_automation_state_config,PaaS; no OS/compute; DSC targets VMs and Arc servers; not applicable
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pv_vpngateway,check_pv3_guest_config_agent,PaaS; no OS/compute; Guest Config Agent targets VMs/Arc; not applicable
PV-3,Custom Container Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pv_vpngateway,check_pv3_custom_container_images,PaaS; no container runtime in VPN GW managed infrastructure; not applicable
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pv_vpngateway,check_pv3_custom_vm_images,PaaS; no VM substrate in VPN GW managed infrastructure; not applicable
PV-5,Vulnerability Assessment,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pv_vpngateway,check_pv5_defender_va,PaaS; no compute; Defender VA targets VMs/containers/SQL; not applicable to VPN GW
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,vpngateway/pv_vpngateway,check_pv6_update_management,PaaS; no OS; Update Manager targets VMs; not applicable to VPN GW
