"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","True","False","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: Azure Bot Service enforces AAD authentication for management plane; data plane channel auth uses AAD tokens"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Bot Service is PaaS; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","True","False","implemented","implemented","N/A — LIVE→UNKNOWN (no ARM property)","","","LIVE→UNKNOWN: Bot Service credentials (MSA app secret) can be stored in Key Vault; no ARM property on bot resource to verify KV usage; behavioral pattern"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Bot Service is a PaaS messaging gateway; anti-malware not applicable at service resource level"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; PaaS Bot Service not applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; PaaS Bot Service not applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Update Management targets customer VMs; PaaS Bot Service not applicable"
"BR-1","Azure Backup","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Bot Service configuration does not use Azure Backup; configuration is in ARM templates; not_applicable"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Guest Configuration targets VMs; PaaS Bot Service not applicable"
"AM-2","Azure Policy Support","True","False","implemented","implemented","botService.tags","","","LIVE-DIRECT: tags proxy for Azure Policy governance; botService.tags non-empty → PASS"
"PA-7","Azure RBAC for Data Plane","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Azure RBAC applies to management plane (create/delete bot); data plane (message delivery) does not support Azure RBAC; not_applicable"
"DP-7","Certificate Management in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Bot Service does not use Key Vault for certificate management; not_applicable"
"IM-7","Conditional Access for Data Plane","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Conditional Access evaluates Entra ID sign-in sessions; Bot Service data plane (messaging API) uses token auth not evaluated by CA policy; not_applicable"
"PA-8","Customer Lockbox","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Bot Service not in Customer Lockbox supported service list; not_applicable"
"PV-3","Custom Containers Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Bot Service does not run customer container images at the bot resource level; not_applicable"
"PV-3","Custom VM Images","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Bot Service PaaS does not support custom VM images; not_applicable"
"DP-5","Data at Rest Encryption Using CMK","True","False","implemented","implemented","N/A — LIVE→UNKNOWN (no ARM property)","","","LIVE→UNKNOWN: Bot Service supports CMK via customer-managed key in Key Vault; no ARM property directly on bot resource to verify; check Key Vault integration"
"DP-4","Data at Rest Encryption Using Platform Keys","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: platform-enforced, enabled by default, not customer-configurable"
"DP-3","Data in Transit Encryption","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: platform-enforced, enabled by default, not customer-configurable"
"DP-2","Data Leakage/Loss Prevention","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Bot Service does not support DLP at the service level; not_applicable"
"LT-1","Microsoft Defender for Service / Product Offering","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; no Microsoft Defender plan for Bot Service as a service resource; Defender for App Service covers the underlying App Service hosting the bot; not_applicable at Bot resource level"
"NS-2","Disable Public Network Access","True","False","implemented","implemented","botService.properties.publicNetworkAccess","","","LIVE-DIRECT: check properties.publicNetworkAccess == Disabled"
"ES-1","EDR Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; EDR targets customer-managed endpoints; PaaS Bot Service not applicable"
"DP-6","Key Management in Azure Key Vault","True","False","implemented","implemented","N/A — LIVE→UNKNOWN (no ARM property)","","","LIVE→UNKNOWN: Bot Service can use Key Vault for key management; no ARM property on bot resource to verify; behavioral pattern"
"PA-1","Local Admin Accounts","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Bot Service PaaS does not expose local admin accounts; not_applicable"
"IM-1","Local Authentication Methods for Data Plane Access","True","False","implemented","implemented","N/A — LIVE→UNKNOWN","","","LIVE→UNKNOWN: Bot Service supports local auth methods (MSA password); customers should prefer MI over passwords; no ARM property to verify local auth disabled"
"IM-3","Managed Identities","True","False","implemented","implemented","botService.properties.msaAppMSIResourceId","","","LIVE-DIRECT: Bot Service supports system-assigned MI for downstream service calls; check identity.type == SystemAssigned"
"BR-1","Service Native Backup Capability","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Bot Service configuration is declarative; no native backup capability; not_applicable"
"NS-1","Network Security Group Support","True","False","implemented","implemented","botService.properties.endpoint","","","LIVE-DIRECT: Bot Service can be deployed with VNet integration; NSG governs traffic; check if privateEndpointConnections present or endpoint is internal"
"NS-2","Azure Private Link","True","False","implemented","implemented","botService.properties.privateEndpointConnections","","","LIVE-DIRECT: Bot Service supports private endpoints via Direct Line App Service extension; check privateEndpointConnections length > 0"
"LT-4","Azure Resource Logs","True","False","implemented","implemented","DiagnosticSettings(botService.id).logs","","","LIVE-DIRECT: Bot Service emits BotRequest diagnostic logs; check DiagnosticSettings for BotRequest category enabled"
"DP-1","Sensitive Data Discovery and Classification","False","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=False; Bot Service does not support data discovery or classification; not_applicable"
"IM-3","Service Principals","True","False","implemented","implemented","botService.properties.msaAppId","","","LIVE-DIRECT: Bot Service authenticates via SP (MSA App ID); check properties.msaAppId is set and not empty"
"NS-1","Virtual Network Integration","True","False","implemented","implemented","botService.properties.endpoint","","","LIVE-DIRECT: Bot Service supports VNet integration via App Service hosting; check endpoint is internal or private endpoint exists"
"PV-5","Vulnerability Assessment using Microsoft Defender","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Vulnerability Assessment targets customer VMs; PaaS Bot Service not applicable"
