asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns1_nsg,DNS Zone is PaaS; NSG does not apply to DNS Zone resource; NSGs apply to subnets that clients use to reach DNS
NS-1,Virtual Network Integration,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns1_vnet,Private DNS VNet links are product functionality not NS control; Public DNS has no VNet integration
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns2_private_link,DNS Zone itself has no Private Link concept; used to resolve privatelink.* FQDNs but zone has no PE
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns2_disable_public,Public DNS by design; no public_network_access toggle; Private DNS is separate product
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp1_data_classification,DNS Zone stores DNS records only (A/AAAA/CNAME/MX/TXT etc.); no customer PII or business data
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp2_dlp,DNS records are operational metadata; no DLP product applicable; DNS exfiltration risk handled by Defender for DNS (LT-1)
DP-3,Data in Transit Encryption,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp3_tls_transit,DNS protocol (RFC 1035) is cleartext UDP/TCP 53 by design; Azure DNS does not support DoH or DoT; DP-3 Not Applicable
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp4_platform_keys,DNS records stored on Microsoft-managed infrastructure; no customer-configurable encryption property exposed
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp5_cmk,CMK not supported for Azure DNS Zone; DNS records are operational metadata only
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp6_key_mgmt,DNS Zone holds no secrets or keys; KV integration not applicable
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp7_cert_kv,DNS Zone manages DNS records not TLS certificates; KV cert management not applicable
IM-1,Disable Local Authentication Methods,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/im_azuredns,check_im1_local_auth_methods,DNS query plane for Public zones is unauthenticated by protocol design (RFC 1035); no local auth to disable
IM-1,Azure AD Authentication Required,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/im_azuredns,check_im1_aad_auth_required,DNS queries are unauthenticated; ARM management plane enforces Entra ID automatically; no per-zone disable_local_auth property
IM-3,Managed Identities for Azure Service Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/im_azuredns,check_im3_managed_identities,DNS Zone is passive hosting service making no outbound calls; MI not applicable
IM-3,Service Principals,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/im_azuredns,check_im3_service_principals,DNS Zone makes no outbound connections; SP usage by operators is PA-7 scope not IM-3 on zone resource
IM-7,Conditional Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/im_azuredns,check_im7_conditional_access,CA applies to ARM management plane at Entra ID level; DNS query plane has no authentication and no CA concept
IM-8,Key/Secret/Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/im_azuredns,check_im8_keyvault_secrets,DNS Zone stores no secrets; KV not applicable to zone resource
LT-1,Microsoft Defender for DNS,True,False,implemented,implemented,pricing.pricing_tier,azuredns/lt_azuredns,check_lt1_defender,Subscription-level check via SecurityCenter.pricings.get(scope='/subscriptions/{sub}' pricing_name='Dns'); Standard→PASS; Free→FAIL; handle ResourceNotFoundError (plan may be deprecated/merged in newer tenants)
LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnostic_settings,azuredns/lt_azuredns,check_lt4_resource_logs,DiagnosticSettings on zone.id via MonitorManagementClient; key categories: QueryVolume/VirtualNetworkLinkWithRegistration/VirtualNetworkLink; any enabled log→PASS
BR-1,Azure Backup,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/br_azuredns,check_br1_azure_backup,Azure Backup not supported for DNS Zones; records exportable via az network dns zone export; IaC is primary compensating control
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/br_azuredns,check_br1_native_backup,No native backup product for Azure DNS; zone file export and IaC (ARM/Bicep/Terraform) serve as compensating controls
AM-2,Use Only Approved Azure Services — Azure Policy,True,False,implemented,implemented,zone.tags,azuredns/am_azuredns,check_am2_policy,Tags proxy for Azure Policy governance; tags present→PASS; empty tags→FAIL; note auto-provisioned zones in system RGs may lack tags
AM-5,Use Only Approved Applications — Defender AAC,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/am_azuredns,check_am5_defender_aac,PaaS DNS hosting service; Adaptive Application Controls target VMs and Arc-enabled servers; not applicable
PA-1,Limit Local Administrator Accounts,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/pa_azuredns,check_pa1_local_admin,PaaS DNS Zone; no compute substrate; no local administrator concept
PA-7,Limit Access via RBAC — DNS Zone Management,True,Customer,conditional,conditional,zone.id (ARM RBAC),azuredns/pa_azuredns,check_pa7_rbac_data_plane,ARM RBAC enforced for DNS zone management (DNS Zone Contributor role); DNS query plane for Public zones is unauthenticated; customer must assign correct roles; UNKNOWN static
PA-8,Microsoft Support Process — Customer Lockbox,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/pa_azuredns,check_pa8_customer_lockbox,Customer Lockbox not available for Azure DNS; DNS record data is not customer PII
ES-1,Endpoint Protection using EDR,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/es_azuredns,check_es1_edr,PaaS DNS service; no compute substrate; EDR not applicable
ES-2,Use of Anti-Malware Software,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/es_azuredns,check_es2_antimalware,PaaS DNS service; no OS or compute; antimalware not applicable
