asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns1_nsg,"DNS Zone is PaaS; NSG does not apply to DNS Zone resource; NSGs apply to subnets that clients use to reach DNS | Exa 2026-06-18: Azure DNS Zone is a PaaS resource. NSGs apply to subnets and NICs; DNS Zone has no VNet presence and no NIC to attach an NSG to. DNS query traffic is routed to Azure's anycast DNS infrastructure, not through customer-managed subnets. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview",azuredns,High,Wide,6
NS-1,Virtual Network Integration,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns1_vnet,"Private DNS VNet links are product functionality not NS control; Public DNS has no VNet integration | Exa 2026-06-18: Private DNS Zones have Virtual Network Links (VNet registration/resolution links) but this is product functionality, not an NS-1 security control. Public DNS Zones have no VNet integration. VNet Links on Private DNS are checkable but not classified as NS network segmentation control. Source: https://learn.microsoft.com/en-us/azure/dns/private-dns-overview",azuredns,High,Wide,6
NS-2,Azure Private Link,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns2_private_link,DNS Zone itself has no Private Link concept; used to resolve privatelink.* FQDNs but zone has no PE | Exa 2026-06-18: Azure DNS Zone itself has no Private Link concept. Azure DNS is used TO RESOLVE private endpoint FQDNs (dns.zone for privatelink.* zones) but the DNS Zone resource itself does not expose a private endpoint. Not applicable. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview,azuredns,High,Wide,6
NS-2,Disable Public Network Access,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/ns_azuredns,check_ns2_disable_public,Public DNS by design; no public_network_access toggle; Private DNS is separate product | Exa 2026-06-18: Public DNS Zones are public by design — their purpose is global DNS resolution. There is no public_network_access toggle. Private DNS Zones are a separate product with inherently private resolution. No toggle exists on either zone type. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview,azuredns,High,Wide,6
DP-1,Sensitive Data Discovery and Classification,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp1_data_classification,"DNS Zone stores DNS records only (A/AAAA/CNAME/MX/TXT etc.); no customer PII or business data | Exa 2026-06-18: Azure DNS Zone stores DNS records (A, AAAA, CNAME, MX, TXT, SOA, NS, SRV, PTR, CAA) only. No customer PII or business data is stored. Purview/AIP data classification not applicable. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview",azuredns,Medium,Wide,4
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp2_dlp,"DNS records are operational metadata; no DLP product applicable; DNS exfiltration risk handled by Defender for DNS (LT-1) | Exa 2026-06-18: DNS records are operational infrastructure metadata. No DLP product applicable to DNS zone resource. DNS exfiltration risk (data in DNS queries) is a network-layer concern addressed by Defender for DNS (LT-1), not DLP. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview",azuredns,Medium,Wide,4
DP-3,Data in Transit Encryption,False,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp3_tls_transit,"DNS protocol (RFC 1035) is cleartext UDP/TCP 53 by design; Azure DNS does not support DoH or DoT; DP-3 Not Applicable | Exa 2026-06-18: DNS protocol (RFC 1035) transmits queries and responses in cleartext over UDP/TCP port 53. Azure DNS does not natively support DNS-over-HTTPS (DoH) or DNS-over-TLS (DoT) for resolvers. ARM management API uses HTTPS but that is control-plane, not DNS data-plane. DP-3 Not Applicable to Azure DNS data plane. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview",azuredns,Medium,Wide,4
DP-4,Data at Rest Encryption Using Platform Keys,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp4_platform_keys,DNS records stored on Microsoft-managed infrastructure; no customer-configurable encryption property exposed | Exa 2026-06-18: DNS record data is stored on Microsoft-managed DNS infrastructure with platform encryption; however DP-4 in MCSB v3 targets customer-managed data stores with configurable encryption. Azure DNS has no customer-configurable encryption property. Classification: not_applicable_paas. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-atrest,azuredns,Medium,Wide,4
DP-5,Data at Rest Encryption Using CMK,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp5_cmk,CMK not supported for Azure DNS Zone; DNS records are operational metadata only | Exa 2026-06-18: CMK not supported and not applicable for Azure DNS Zone. DNS records are operational metadata on Microsoft-managed infrastructure; no CMK encryption capability exposed. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview,azuredns,Medium,Wide,4
DP-6,Key Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,azuredns/dp_azuredns,check_dp6_key_mgmt,"DNS Zone holds no secrets or keys; KV integration not applicable | Exa 2026-06-18: Azure DNS Zone stores no secrets, keys, or certificates. No Key Vault integration applicable to the zone resource itself. Source: https://learn.microsoft.com/en-us/azure/dns/dns-overview",azuredns,Medium,Wide,4
