asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure AD Authentication Required for Data Plane Access not applicable to this service by design; not_applicable_paas,peeringservice,High,Wide,6
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Microsoft Defender for Cloud - Adaptive Application Controls not applicable to this service by design; not_applicable_paas,peeringservice,Medium,Wide,4
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Service Credential and Secrets Support Integration and Storage in Azure Key Vault not applicable to this service by design; not_applicable_paas,peeringservice,High,Wide,6
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution not applicable to this service by design; not_applicable_paas,peeringservice,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Anti-Malware Solution Health Monitoring not applicable to this service by design; not_applicable_paas,peeringservice,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation State Configuration not applicable to this service by design; not_applicable_paas,peeringservice,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Update Management not applicable to this service by design; not_applicable_paas,peeringservice,Low,Wide,2
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Backup not applicable to this service by design; not_applicable_paas,peeringservice,Medium,Wide,4
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Policy Guest Configuration Agent not applicable to this service by design; not_applicable_paas,peeringservice,Low,Wide,2
AM-2,Azure Policy Support,True,False,implemented,implemented,N/A — microsoft_managed via Azure Policy framework,,,LIVE-DIRECT: Azure Policy Support supported but not enabled by default on Azure Peering Service; verify N/A — microsoft_managed via Azure Policy framework | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/microsoft-azure-peering-service-security-baseline,peeringservice,Medium,Wide,4
PA-7,Azure RBAC for Data Plane,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in v3 baseline; Azure RBAC for Data Plane not supported; web research 2026 confirms no change; still_not_applicable | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/microsoft-azure-peering-service-security-baseline,peeringservice,High,Wide,6
