asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
IM-1,Azure AD Authentication Required for Data Plane Access,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation enforces AAD authentication for runbook execution and management API; always enabled; platform-enforced
AM-5,Microsoft Defender for Cloud - Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; no compute workloads in Automation Account; Adaptive Application Controls applies to VMs not PaaS services; not_applicable
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation Account natively integrates Key Vault for runbook credential and secret management; KV-backed secure assets available by default; platform-enforced
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation Account is PaaS; Hybrid Worker VMs are customer-managed and not in scope here; anti-malware not applicable at Account level
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account level; Hybrid Worker VM health is customer responsibility; not_applicable
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation IS the State Configuration service; the Account cannot configure itself via DSC; not_applicable
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation IS the Update Management service; no concept of updating the Account itself via Update Management; not_applicable
BR-1,Azure Backup,False,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=False; Azure Automation Account configuration (runbooks, schedules, connections) not covered by Azure Backup; use source control integration for runbook versioning; not_applicable"
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no VM guest agent concept; not_applicable
AM-2,Azure Policy Support,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Policy governance applies to Automation Accounts via Azure Resource Manager; policy assignments enforced platform-side
PA-7,Azure RBAC for Data Plane,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Automation enforces RBAC for runbook and job operations; built-in roles: Automation Operator, Automation Job Operator, Automation Runbook Operator; platform-enforced access control"
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,automationAccount.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Automation supports certificate assets referencing Key Vault for runbook authentication; check encryption keyVaultProperties for active KV reference
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation runbook execution uses MI or Run As account; no separate Conditional Access evaluation point for data plane operations; not_applicable
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Azure Automation not in Customer Lockbox supported service list; not_applicable
PV-3,Custom Containers Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no container image management; not_applicable
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no VM image management at Account level; not_applicable
DP-5,Data at Rest Encryption Using CMK,True,False,implemented,implemented,automationAccount.properties.encryption.keySource,,,LIVE-DIRECT: Azure Automation Account supports CMK for encrypting stored assets; check properties.encryption.keySource == Microsoft.Keyvault
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Automation Account encrypts all stored data (runbooks, credentials, connection assets) at rest using Microsoft-managed keys by default; platform-enforced"
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Automation enforces TLS 1.2+ for all API and webhook traffic; platform-enforced
DP-2,Data Leakage/Loss Prevention,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Azure Automation is an orchestration service; DLP concept not applicable to runbook execution infrastructure; not_applicable
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; no dedicated Microsoft Defender plan for Azure Automation Account service; Defender for Servers covers Hybrid Worker VMs separately; not_applicable at Account level
NS-2,Disable Public Network Access,True,False,implemented,implemented,automationAccount.properties.publicNetworkAccess,,,LIVE-DIRECT: Azure Automation Account supports disabling public network access; check properties.publicNetworkAccess == Disabled
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS Account; no endpoint layer at Account level; Hybrid Worker VMs are customer responsibility; not_applicable
