asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,namespaces.get_network_rule_set().default_action,servicebus/ns_servicebus,check_ns1_nsg,Network rule set default_action=Deny → network-level control PASS; SB not subnet-injected so NSG proxy via rule set | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,High,Wide,6
NS-1,Virtual Network Integration,True,False,implemented,implemented,namespaces.get_network_rule_set().virtual_network_rules / privateEndpointConnections,servicebus/ns_servicebus,check_ns1_vnet,Premium-only; non-Premium → UNKNOWN; Premium without VNet rules or private endpoints → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,High,Wide,6
NS-2,Azure Private Link,True,False,implemented,implemented,privateEndpointConnections,servicebus/ns_servicebus,check_ns2_private_link,At least one Approved private endpoint connection embedded in namespace object → PASS | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,publicNetworkAccess / namespaces.get_network_rule_set().default_action,servicebus/ns_servicebus,check_ns2_disable_public_access,PASS if public_network_access=Disabled OR network rule set default_action=Deny | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,High,Wide,6
DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,False,Not Applicable,upgraded_implemented,still_not_applicable,publicNetworkAccess,servicebus/dp_servicebus,check_dp2_dlp,MCSB v3 baseline: False/Not Applicable. No native DLP solution for Service Bus message traffic. Phase 48 cache incorrectly marked as now_applicable_native — reverted. Source: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,Medium,Narrow,2
DP-3,Encrypt Data in Transit,True,False,implemented,implemented,minimumTlsVersion,servicebus/dp_servicebus,check_dp3_tls_transit,minimum_tls_version in (1.2 / 1.3) → PASS | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,Medium,Wide,4
DP-4,Encrypt Data at Rest with Platform-Managed Keys,True,True,implemented,implemented,N/A (inherent — all SKUs),servicebus/dp_servicebus,check_dp4_platform_keys,All SKUs (Basic/Standard/Premium) encrypted with MS-managed keys by default — auto-PASS (static) | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,Medium,Narrow,2
DP-5,Encrypt Data at Rest with Customer-Managed Key,True,False,implemented,implemented,encryption.keySource,servicebus/dp_servicebus,check_dp5_cmk,Premium SKU only; encryption.key_source=Microsoft.KeyVault → PASS; non-Premium → UNKNOWN; Premium without CMK → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/service-bus-security-baseline,servicebus,Medium,Wide,4
DP-6,Manage Cryptographic Keys using Key Management Service,False,Not Applicable,upgraded_implemented,now_applicable_native,encryption.keySource,servicebus/dp_servicebus,check_dp6_key_mgmt,Premium SKU uses KV for CMK key management; ARM-checkable; non-Premium → UNKNOWN | Phase48-cache: Service Bus Premium supports CMK via Azure Key Vault (encryption.key_source=Microsoft.KeyVault). ARM-checkable. GA since 2020. [NEEDS-EXA-URL] Source: https://learn.microsoft.com/en-us/azure/service-bus-messaging/configure-customer-managed-key,servicebus,Medium,Narrow,2
DP-7,Certificate Management using Azure Key Vault,False,Not Applicable,not_applicable_managed,conditional,N/A (Microsoft-managed infrastructure),servicebus/dp_servicebus,check_dp7_cert_kv,SB TLS certs are Microsoft-managed infrastructure; customer cert management via KV not ARM-readable → UNKNOWN,servicebus,Medium,Wide,4
